,fluxes
R1,0.0
R2,-1.0
R3,0.0
R4,0.0
R5,0.0
R6,7.105427357601002e-15
R7,6.000000000000011
R8,1.9999999999999973
R9,0.0
R10,0.0
R11,0.0
R12,0.0
R13,-5.000000000000007
R14,-2.000000000000004
R15,0.0
R16,1.0000000000000047
R17,1.0000000000000024
R18,1.0000000000000024
R19,0.0
R20,2.0000000000000036
R21,2.0000000000000036
R22,2.0000000000000036
R23,0.0
R24,1.9999999999999973
R25,0.9999999999999987
R26,0.0
R27,1.999999999999999
R28,2.0000000000000018
R29,2.0000000000000018
R30,2.0000000000000018
R31,2.0000000000000018
R32,2.0000000000000018
R33,2.0000000000000018
R34,0.0
R35,0.0
R36,0.0
R37,0.0
R38,0.0
R39,1.3322676295501878e-15
R40,0.0
R41,-7.771561172376101e-16
R42,0.0
R43,4.000000000000006
R44,1.0000000000000009
R45,0.0
R46,0.0
R47,0.0
R48,1.0000000000000047
R49,2.220446049250313e-15
R50,0.0
R51,0.0
R52,-7.105427357601002e-15
R53,-6.000000000000011
R54,-1.9999999999999973
R55,5.000000000000007
R56,2.000000000000004
R57,0.0
R58,32.00000000000004
