,fluxes
R1,0.0
R2,-1.0
R3,0.8
R4,0.0
R5,0.0
R6,0.0
R7,2.8
R8,2.0
R9,0.0
R10,0.0
R11,0.0
R12,0.0
R13,-0.2
R14,0.3999999999999999
R15,0.0
R16,0.9999999999999998
R17,0.9999999999999998
R18,0.9999999999999998
R19,0.0
R20,1.9999999999999996
R21,1.9999999999999996
R22,1.9999999999999996
R23,0.0
R24,2.0
R25,1.0
R26,0.0
R27,0.40000000000000013
R28,0.4
R29,0.4
R30,0.4
R31,0.4
R32,0.4
R33,0.4
R34,0.0
R35,0.0
R36,0.0
R37,0.0
R38,0.0
R39,0.0
R40,0.0
R41,0.7999999999999999
R42,0.0
R43,0.0
R44,0.2
R45,0.0
R46,0.0
R47,0.0
R48,0.9999999999999998
R49,-0.7999999999999999
R50,0.0
R51,0.0
R52,0.0
R53,-2.8
R54,-2.0
R55,0.2
R56,-0.3999999999999999
R57,0.0
R58,3.1999999999999997
