,fluxes
GLUDy,-0.2545869437801299
GLUSy,0.0
GLUN,0.0
GLNS,0.10858952073354074
PROs,0.005279832299849255
ARGs,0.007082701865651522
CARPs,0.007082701865651522
LYSs,0.008241689443667126
SERs,0.058567318422567044
GLYs,0.0429789150659276
FTHFs,0.05633925869367647
MYTHFs,0.003734515529161668
METHFs,-0.039993725521283
CYSs,0.005923714287635749
ASPs,0.0969905756360002
ASNs,0.00579493789007845
HOMs,0.016740931682448855
THRs,0.013006416153287188
METs,0.003734515529161668
ILEUs,0.0069539254680941395
ALAs,0.012362534165500698
AKIs,0.02099055280183972
VALs,0.010173335407026612
LEUs,0.010817217394813108
CHOs,0.00927190062412552
PHENs,0.0045071739145054615
TYRs,0.003348186336489771
TRYPs,0.0014165403731302877
PRPPs,0.05081074518388569
HISs,0.00231797515603138
PPC,0.08046171834027482
PPCK,0.0
ME1,0.0
ME2,0.0
ADK1,2.42861286636753e-17
ATPM,0.59
ATPS4r,0.0
Biomass,1.318214735973988
ACACT1r,0.7253890993129501
HACD1i,-0.7253890993129501
ECOAH1,0.7253890993129501
ACOAD1,0.7253890993129501
BTCOAp,0.409015306833955
BTCOARx,0.31637379247899516
ALCD4,-0.31637379247899516
CHs,0.0039019156184830046
CH_biomass,0.0039019156184830046
HEX1,0.0
PGI,0.7289946020447109
PFK,0.8679702098066847
FBP,0.0
FBA,0.8679702098066847
TPI,0.8638902824702558
GAPD,1.7989804529384341
PGK,-1.7989804529384341
PGM,-1.7404131345158673
ENO,1.7404131345158673
PYK,0.6541207678483164
PPS,0.0
dNMPs,0.015963580452644992
dNTPs,0.015963580452644992
DNA_biomass,0.015963580452644992
EET,0.1
EMI,-0.2
NADH16,0.0
CYTBD,0.0
EX_glc__D_e,-1.0
EX_lac__D_e,0.0
EX_h_e,0.5766989452621312
EX_ac_e,0.0
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,-1.3213408031274658
EX_h2o_e,0.0
EX_co2_e,1.814843754159685
EX_nh4_e,-0.3676836384281762
EX_o2_e,0.0
EX_elect__ox_e,0.2
EX_elect_red_e,-0.2
EX_buty_e,0.409015306833955
EX_glyc_e,0.0
EX_btoh_e,0.31637379247899516
EX_for_e,0.0
EX_biomass_e,1.318214735973988
LDH_D,0.0
PTAr,-0.013006416153287185
ACKr,0.013006416153287185
ACALD,0.0
ALCD2x,0.0
PFL,0.0
GLYCDx,-0.004079927336428931
DHAPT,-0.004079927336428931
GLYK,0.0
G3PT,0.0
G3PD2,0.0
CS,0.0332243105697831
ACONTa,0.03322431056978312
ACONTb,0.0332243105697831
ICL,0.0
MALS,0.0
ICDHyr,0.0332243105697831
AKGDH,0.0
SUCOAS,0.003734515529161668
SUCDi,1.1840521310471232e-17
FRD7,0.0
FUM,0.04975316786550852
MDH,0.049753167865508485
PALs,0.007553096248465868
OLEs,0.0023851882889892218
MALCOAs,0.07961728052612749
OAs,0.009938284537455091
ETNs,0.0030970927935814454
LIPs,0.013076690180861961
LIP_biomass,0.013076690180861961
GLUN6Ps,0.00042578335971959813
RHAs,0.00021289167985979906
dTDPdp,0.00021289167985979906
dTTPs,0.00021289167985979906
H7Ps,0.0006386750395793972
MIRs,0.0012773500791587943
KDOs,0.0006386750395793972
LPSs,0.004257833597195981
LPS_biomass,0.004257833597195981
IMPs,0.028169629346838233
AMPs,0.014500836653018837
GMPs,0.013668792693819399
UMPs,0.01890660030788579
UTPs,0.009204526668969884
CTPs,0.009204526668969884
CMPs,0.009204526668969884
TMPs,0.002985189544644614
dAMPs,0.006353505020152708
dGMPs,0.003655659923655704
dCMPs,0.002985189544644614
dTMPs,0.002985189544644614
UMPk,0.0
G6PDH2r,0.2664648072972266
PGL,0.26646480729722544
GND,0.2664648072972266
RPE,0.1400400661612721
RPI,-0.1257860660963742
TKT1,0.0749753209124885
TALA,0.07433664587290911
TKT2,0.06506474524878358
AMs,0.1287763975572989
PROT_biomass,0.1287763975572989
NADTRHD,0.0
THD2,0.0
NMPs,0.031096685621626347
NTPs,0.031096685621626347
RNA_biomass,0.031096685621626347
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,1.765901629901024
PDH,0.0
GLYCtex,0.0
D_LACtp,0.0
ACtp,0.0
BUTYtp,0.409015306833955
GLCtp,-1.0
BTOHtp,0.31637379247899516
ACALDtp,0.0
ETOHtp,0.0
Pitp,-1.3213408031274658
H2Otp,8.543513119185775e-16
CO2tp,1.814843754159685
NH4tp,-0.3676836384281762
O2tp,0.0
MET_REDtp,-0.2
MET_Oxtp,0.2
Htp,0.0
FORtp,0.0
T_biomass_e,1.318214735973988
GLCpts,1.0
GLCt1,0.0
D_LACt2,0.0
ACt2r,0.0
ACALDt,0.0
ETOHt2r,0.0
PIt2r,1.3213408031274658
H2Ot,-8.543513119185775e-16
CO2t,-1.814843754159685
BUTYt,0.409015306833955
NH4t,0.3676836384281762
O2t,0.0
GLYCtpp,0.0
BTOHt2rpp,-0.31637379247899516
FORti,0.0
FORt2,0.0
PDH2,1.5938943311769052
CF,0.0
