,fluxes
GLUDy,-0.18212964574476875
GLUSy,0.0
GLUN,0.0
GLNS,0.0776841524122871
PROs,0.0037771535809543013
ARGs,0.00506691334030455
CARPs,0.00506691334030455
LYSs,0.005896044614172568
SERs,0.041898633127610316
GLYs,0.030746802876946526
FTHFs,0.04030469542171037
MYTHFs,0.002671645215796945
METHFs,-0.02861122001407725
CYSs,0.004237782066436533
ASPs,0.06938635154999116
ASNs,0.0041456563693400865
HOMs,0.011976340622538028
THRs,0.009304695406741084
METs,0.002671645215796945
ILEUs,0.004974787643208104
ALAs,0.008844066921258852
AKIs,0.015016488626720758
VALs,0.007277930070619263
LEUs,0.007738558556101496
CHOs,0.006633050190944138
PHENs,0.0032243993983756235
TYRs,0.0023952681245076055
TRYPs,0.00101338266806091
PRPPs,0.036349637113995276
HISs,0.0016582625477360345
PPC,0.3394676109872328
PPCK,0.0
ME1,0.0
ME2,0.2819058835877883
ADK1,1.97758476261356e-16
ATPM,2.1846930889104184
ATPS4r,0.0
Biomass,0.9430412232208657
ACACT1r,1.252
HACD1i,-1.252
ECOAH1,1.252
ACOAD1,1.252
BTCOAp,0.871
BTCOARx,0.381
ALCD4,-0.381
CHs,0.0027914020207337625
CH_biomass,0.0027914020207337625
HEX1,1.42
PGI,1.4167516945066156
PFK,1.3890891771065694
FBP,0.0
FBA,1.3890891771065694
TPI,1.386170426799052
GAPD,2.7597344074083883
PGK,-2.7597344074083883
PGM,-2.717835774280778
ENO,2.717835774280778
PYK,2.367563909746524
PPS,0.0
dNMPs,0.011420229213204682
dNTPs,0.011420229213204684
DNA_biomass,0.011420229213204684
EET,0.7554971724854886
EMI,-1.5109943449709773
NADH16,-1.8729990819628153e-18
CYTBD,0.0
EX_glc__D_e,-1.42
EX_lac__D_e,0.0
EX_h_e,-0.3769561474155462
EX_ac_e,0.0
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,-0.9519106390902067
EX_h2o_e,0.187
EX_co2_e,2.5738228645853116
EX_nh4_e,-0.2630381975554315
EX_o2_e,0.0
EX_elect__ox_e,1.5109943449709773
EX_elect_red_e,-1.5109943449709773
EX_buty_e,0.871
EX_glyc_e,0.0
EX_btoh_e,0.381
EX_for_e,0.0
EX_biomass_e,0.9430412232208657
LDH_D,0.0
PTAr,-0.009304695406741084
ACKr,0.009304695406741084
ACALD,0.0
ALCD2x,0.0
PFL,0.0
GLYCDx,-0.002918750307517508
DHAPT,-0.002918750307517508
GLYK,0.0
G3PT,0.0
G3PD2,0.0
CS,0.023768429850883187
ACONTa,0.023768429850883187
ACONTb,0.023768429850883187
ICL,0.0
MALS,-6.938893903907228e-18
ICDHyr,0.023768429850883174
AKGDH,0.0
SUCOAS,0.002671645215796936
SUCDi,0.0
FRD7,-1.8729990819628153e-18
FUM,0.035593054001429814
MDH,-0.24631282958635867
PALs,0.00540343005648113
OLEs,0.00170634633362562
MALCOAs,0.05695762273617899
OAs,0.007109776390106751
ETNs,0.002215637632308495
LIPs,0.009354968934350987
LIP_biomass,0.009354968934350987
GLUN6Ps,0.0003046023151003396
RHAs,0.0001523011575501698
dTDPdp,0.0001523011575501698
dTTPs,0.0001523011575501698
H7Ps,0.0004569034726505094
MIRs,0.0009138069453010187
KDOs,0.00045690347265050943
LPSs,0.003046023151003396
LPS_biomass,0.003046023151003396
IMPs,0.020152347710855185
AMPs,0.010373792950270081
GMPs,0.009778554760585104
UMPs,0.013525644187343144
UTPs,0.00658485135402532
CTPs,0.00658485135402532
CMPs,0.00658485135402532
TMPs,0.002135582862869276
dAMPs,0.004545251226855464
dGMPs,0.0026152324898238728
dCMPs,0.002135582862869276
dTMPs,0.002135582862869275
UMPk,0.0
G6PDH2r,0.0
PGL,0.0
GND,0.0
RPE,-0.026901011612295248
RPI,-0.026444108139644977
TKT1,-0.009905528974350299
TALA,-0.01036243244700081
TKT2,-0.016995482637944946
AMs,0.09212569709644637
PROT_biomass,0.09212569709644637
NADTRHD,0.0
THD2,-2.809498622944222e-18
NMPs,0.02224634245578022
NTPs,0.02224634245578022
RNA_biomass,0.02224634245578022
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,1.4282416928134833
PDH,0.0
GLYCtex,0.0
D_LACtp,0.0
ACtp,0.0
BUTYtp,0.8709999999999998
GLCtp,-1.42
BTOHtp,0.381
ACALDtp,0.0
ETOHtp,0.0
Pitp,-0.9519106390902067
H2Otp,0.1870000000000013
CO2tp,2.5738228645853116
NH4tp,-0.2630381975554315
O2tp,0.0
MET_REDtp,-1.5109943449709773
MET_Oxtp,1.5109943449709773
Htp,-1.5407439555097887e-33
FORtp,0.0
T_biomass_e,0.9430412232208657
GLCpts,0.0
GLCt1,1.42
D_LACt2,0.0
ACt2r,0.0
ACALDt,0.0
ETOHt2r,0.0
PIt2r,0.9519106390902067
H2Ot,-0.1870000000000013
CO2t,-2.5738228645853116
BUTYt,0.8709999999999998
NH4t,0.2630381975554315
O2t,0.0
GLYCtpp,0.0
BTOHt2rpp,-0.381
FORti,0.0
FORt2,0.0
PDH2,2.606384239092744
CF,0.0
PROPs,0.0
PROPt,0.0
PROPte,0.0
EX_prop_c,0.0
IPAp,0.0
IAAldp,0.0
IAAs,0.0
IAAt,0.0
IAAte,0.0
EX_iaa_c,0.0
ATP_hypothethic,0.0
NADH_hypo,0.0
NADH_NADP_hypo,0.0
EET_hypo,0.0
