,fluxes
GLUDy,-2.7250928786253843e-16
GLUSy,0.0
GLUN,0.0
GLNS,1.8167285857502563e-16
PROs,0.0
ARGs,0.0
CARPs,0.0
LYSs,0.0
SERs,9.083642928751281e-17
GLYs,9.083642928751281e-17
FTHFs,1.8167285857502563e-16
MYTHFs,0.0
METHFs,-9.083642928751281e-17
CYSs,0.0
ASPs,1.8167285857502563e-16
ASNs,0.0
HOMs,0.0
THRs,0.0
METs,0.0
ILEUs,0.0
ALAs,0.0
AKIs,0.0
VALs,0.0
LEUs,0.0
CHOs,0.0
PHENs,0.0
TYRs,0.0
TRYPs,0.0
PRPPs,9.083642928751281e-17
HISs,0.0
PPC,0.0
PPCK,0.0
ME1,0.0
ME2,0.0
ADK1,9.083642928751281e-17
ATPM,2.6959999999999993
ATPS4r,0.0
Biomass,0.0
ACACT1r,1.0000000000000002
HACD1i,-1.0000000000000002
ECOAH1,1.0000000000000002
ACOAD1,1.0000000000000002
BTCOAp,0.6960000000000002
BTCOARx,0.30400000000000005
ALCD4,-0.30400000000000005
CHs,0.0
CH_biomass,0.0
HEX1,1.0
PGI,1.0
PFK,1.0
FBP,0.0
FBA,1.0
TPI,1.0
GAPD,2.0000000000000004
PGK,-2.0000000000000004
PGM,-2.0000000000000004
ENO,2.0000000000000004
PYK,2.0000000000000004
PPS,0.0
dNMPs,0.0
dNTPs,0.0
DNA_biomass,0.0
EET,0.608
EMI,-1.216
NADH16,0.0
CYTBD,0.0
EX_glc__D_e,-1.0
EX_lac__D_e,0.0
EX_h_e,-0.5199999999999994
EX_ac_e,0.0
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,-1.1102230246251565e-15
EX_h2o_e,0.0
EX_co2_e,2.0000000000000004
EX_nh4_e,-4.54182146437564e-16
EX_o2_e,0.0
EX_elect__ox_e,1.216
EX_elect_red_e,-1.216
EX_buty_e,0.6960000000000002
EX_glyc_e,0.0
EX_btoh_e,0.30400000000000005
EX_for_e,0.0
EX_biomass_e,0.0
LDH_D,0.0
PTAr,0.0
ACKr,0.0
ACALD,0.0
ALCD2x,0.0
PFL,0.0
GLYCDx,0.0
DHAPT,0.0
GLYK,0.0
G3PT,0.0
G3PD2,0.0
CS,0.0
ACONTa,0.0
ACONTb,0.0
ICL,0.0
MALS,0.0
ICDHyr,0.0
AKGDH,0.0
SUCOAS,0.0
SUCDi,0.0
FRD7,0.0
FUM,1.8167285857502563e-16
MDH,1.8167285857502563e-16
PALs,0.0
OLEs,0.0
MALCOAs,0.0
OAs,0.0
ETNs,0.0
LIPs,0.0
LIP_biomass,0.0
GLUN6Ps,0.0
RHAs,0.0
dTDPdp,0.0
dTTPs,0.0
H7Ps,0.0
MIRs,0.0
KDOs,0.0
LPSs,0.0
LPS_biomass,0.0
IMPs,9.083642928751281e-17
AMPs,9.083642928751281e-17
GMPs,0.0
UMPs,0.0
UTPs,0.0
CTPs,0.0
CMPs,0.0
TMPs,0.0
dAMPs,0.0
dGMPs,0.0
dCMPs,0.0
dTMPs,0.0
UMPk,0.0
G6PDH2r,0.0
PGL,0.0
GND,0.0
RPE,-6.055761952500855e-17
RPI,-6.055761952500853e-17
TKT1,-3.0278809762504273e-17
TALA,-3.0278809762504273e-17
TKT2,-3.0278809762504273e-17
AMs,0.0
PROT_biomass,0.0
NADTRHD,0.0
THD2,0.0
NMPs,0.0
NTPs,0.0
RNA_biomass,0.0
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,0.3040000000000018
PDH,0.0
GLYCtex,0.0
D_LACtp,0.0
ACtp,0.0
BUTYtp,0.6960000000000002
GLCtp,-1.0
BTOHtp,0.30400000000000005
ACALDtp,0.0
ETOHtp,0.0
Pitp,-1.1102230246251565e-15
H2Otp,0.0
CO2tp,2.0000000000000004
NH4tp,-4.54182146437564e-16
O2tp,0.0
MET_REDtp,-1.216
MET_Oxtp,1.216
Htp,0.0
FORtp,0.0
T_biomass_e,0.0
GLCpts,0.0
GLCt1,1.0
D_LACt2,0.0
ACt2r,0.0
ACALDt,0.0
ETOHt2r,0.0
PIt2r,1.1102230246251565e-15
H2Ot,0.0
CO2t,-2.0000000000000004
BUTYt,0.6960000000000002
NH4t,4.54182146437564e-16
O2t,0.0
GLYCtpp,0.0
BTOHt2rpp,-0.30400000000000005
FORti,0.0
FORt2,0.0
PDH2,2.0000000000000004
CF,0.0
PROPs,0.0
PROPt,0.0
PROPte,0.0
EX_prop_c,0.0
IPAp,0.0
IAAldp,0.0
IAAs,0.0
IAAt,0.0
IAAte,0.0
EX_iaa_c,0.0
ATP_hypothethic,0.0
NADH_hypo,0.0
NADH_NADP_hypo,2.2204460492503126e-16
EET_hypo,0.0
