,fluxes
R1,0.0
R2,-1.0
R3,1.0000000000000004
R4,0.0
R5,0.0
R6,-8.881784197001252e-16
R7,1.9999999999999987
R8,2.0000000000000004
R9,0.0
R10,0.0
R11,-4.000000000000004
R12,4.000000000000004
R13,0.0
R14,1.0000000000000007
R15,0.0
R16,1.0000000000000007
R17,0.9999999999999998
R18,0.9999999999999998
R19,0.0
R20,2.0
R21,2.0
R22,2.0
R23,0.0
R24,2.0000000000000004
R25,1.0000000000000002
R26,0.0
R27,0.0
R28,-3.3306690738754696e-16
R29,-3.3306690738754686e-16
R30,-3.3306690738754696e-16
R31,-3.3306690738754696e-16
R32,-3.3306690738754696e-16
R33,-3.3306690738754696e-16
R34,0.0
R35,0.0
R36,0.0
R37,0.0
R38,0.0
R39,-3.3306690738754696e-16
R40,0.0
R41,1.0000000000000002
R42,0.0
R43,1.6653345369377348e-16
R44,-1.6653345369377348e-16
R45,2.000000000000002
R46,-4.000000000000004
R47,0.0
R48,1.0000000000000007
R49,-1.0000000000000004
R50,0.0
R51,0.0
R52,6.938893903907232e-16
R53,-1.9999999999999987
R54,-2.0000000000000004
R55,0.0
R56,-1.0000000000000007
R57,0.0
R58,1.9999999999999996
