,fluxes
GLUDy,0.0
GLUSy,0.0
GLUN,0.0
GLNS,0.0
PROs,0.0
ARGs,0.0
CARPs,0.0
LYSs,0.0
SERs,0.0
GLYs,0.0
FTHFs,0.0
MYTHFs,0.0
METHFs,0.0
CYSs,0.0
ASPs,0.0
ASNs,0.0
HOMs,0.0
THRs,0.0
METs,0.0
ILEUs,0.0
ALAs,0.0
AKIs,0.0
VALs,0.0
LEUs,0.0
CHOs,0.0
PHENs,0.0
TYRs,0.0
TRYPs,0.0
PRPPs,0.0
HISs,0.0
PPC,0.0
PPCK,0.0
ME1,0.0
ME2,6.661338147750939e-16
ADK1,0.0
ATPM,1.999999999999998
ATPS4r,-1.1842378929335002e-15
Biomass,0.0
ACACT1r,0.9999999999999998
HACD1i,-0.9999999999999998
ECOAH1,0.9999999999999998
ACOAD1,0.9999999999999998
BTCOAp,-1.3322676295501878e-15
BTCOARx,1.000000000000001
ALCD4,-1.000000000000001
CHs,0.0
CH_biomass,0.0
HEX1,0.0
PGI,0.9999999999999997
PFK,0.9999999999999999
FBP,0.0
FBA,0.9999999999999999
TPI,0.9999999999999999
GAPD,1.9999999999999998
PGK,-1.9999999999999998
PGM,-1.9999999999999998
ENO,1.9999999999999998
PYK,0.9999999999999998
PPS,0.0
dNMPs,0.0
dNTPs,0.0
DNA_biomass,0.0
EET,2.0
EMI,4.440892098500626e-16
NADH16,-8.881784197001252e-16
CYTBD,0.0
EX_glc__D_e,-1.0
EX_lac__D_e,0.0
EX_h_e,0.0
EX_ac_e,0.0
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,-2.220446049250313e-16
EX_h2o_e,0.0
EX_co2_e,2.0000000000000018
EX_nh4_e,0.0
EX_o2_e,0.0
EX_elect__ox_e,-4.440892098500626e-16
EX_elect_red_e,4.440892098500626e-16
EX_buty_e,-1.3322676295501878e-15
EX_glyc_e,0.0
EX_btoh_e,1.000000000000001
EX_for_e,0.0
EX_biomass_e,0.0
LDH_D,0.0
PTAr,0.0
ACKr,0.0
ACALD,0.0
ALCD2x,0.0
PFL,0.0
GLYCDx,0.0
DHAPT,0.0
GLYK,0.0
G3PT,0.0
G3PD2,0.0
CS,2.220446049250313e-16
ACONTa,2.220446049250313e-16
ACONTb,2.220446049250313e-16
ICL,0.0
MALS,0.0
ICDHyr,2.220446049250313e-16
AKGDH,0.0
SUCOAS,-8.881784197001252e-16
SUCDi,8.881784197001252e-16
FRD7,0.0
FUM,8.881784197001252e-16
MDH,2.220446049250313e-16
PALs,0.0
OLEs,0.0
MALCOAs,0.0
OAs,0.0
ETNs,0.0
LIPs,0.0
LIP_biomass,0.0
GLUN6Ps,0.0
RHAs,0.0
dTDPdp,0.0
dTTPs,0.0
H7Ps,0.0
MIRs,0.0
KDOs,0.0
LPSs,0.0
LPS_biomass,0.0
IMPs,0.0
AMPs,0.0
GMPs,0.0
UMPs,0.0
UTPs,0.0
CTPs,0.0
CMPs,0.0
TMPs,0.0
dAMPs,0.0
dGMPs,0.0
dCMPs,0.0
dTMPs,0.0
UMPk,0.0
G6PDH2r,3.330669073875469e-16
PGL,0.0
GND,3.330669073875469e-16
RPE,2.2204460492503128e-16
RPI,-1.1102230246251564e-16
TKT1,1.1102230246251564e-16
TALA,1.1102230246251564e-16
TKT2,1.1102230246251564e-16
AMs,0.0
PROT_biomass,0.0
NADTRHD,0.0
THD2,0.0
NMPs,0.0
NTPs,0.0
RNA_biomass,0.0
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,0.9999999999999996
SINK_accoa_c,0.0
PDH,0.0
GLYCtex,0.0
D_LACtp,0.0
ACtp,0.0
BUTYtp,-1.3322676295501878e-15
GLCtp,-1.0
BTOHtp,1.000000000000001
ACALDtp,0.0
ETOHtp,0.0
Pitp,-2.220446049250313e-16
H2Otp,0.0
CO2tp,2.0000000000000018
NH4tp,0.0
O2tp,0.0
MET_REDtp,4.440892098500626e-16
MET_Oxtp,-4.440892098500626e-16
Htp,8.881784197001252e-16
FORtp,0.0
T_biomass_e,0.0
GLCpts,1.0
GLCt1,0.0
D_LACt2,0.0
ACt2r,0.0
ACALDt,0.0
ETOHt2r,0.0
PIt2r,2.220446049250313e-16
H2Ot,0.0
CO2t,-2.0000000000000018
BUTYt,-1.3322676295501878e-15
NH4t,0.0
O2t,0.0
GLYCtpp,0.0
BTOHt2rpp,-1.000000000000001
FORti,0.0
FORt2,0.0
PDH2,2.0000000000000004
CF,0.0
