,fluxes
GLUDy,-4.068153859758977e-15
GLUSy,0.0
GLUN,0.0
GLNS,0.33333333333333054
PROs,0.0
ARGs,4.467014993197692e-16
CARPs,0.0
LYSs,0.0
SERs,0.3333333333333317
GLYs,-6.344131569286613e-16
FTHFs,-1.5099033134902134e-15
MYTHFs,5.455953149586486e-16
METHFs,2.126226658603506e-31
CYSs,0.0
ASPs,-2.7652949957890464e-16
ASNs,0.0
HOMs,0.0
THRs,0.0
METs,0.0
ILEUs,0.0
ALAs,0.0
AKIs,-6.394884621840902e-15
VALs,0.0
LEUs,-6.394884621840902e-15
CHOs,0.3333333333333323
PHENs,0.0
TYRs,0.0
TRYPs,0.3333333333333323
PRPPs,0.33333333333333187
HISs,8.111425363587868e-16
PPC,4.313725490196099
PPCK,0.0
ME1,0.0
ME2,4.3137254901960995
ADK1,4.980392156862757
ATPM,0.0
ATPS4r,0.0
Biomass,0.0
ACACT1r,0.0
HACD1i,0.0
ECOAH1,0.0
ACOAD1,0.0
BTCOAp,0.0
BTCOARx,0.0
ALCD4,0.0
CHs,0.0
CH_biomass,0.0
HEX1,0.0
PGI,0.0
PFK,0.0
FBP,0.33333333333333204
FBA,-0.33333333333333204
TPI,0.666666666666668
GAPD,0.33333333333333626
PGK,-0.33333333333333626
PGM,-4.57966997657874e-15
ENO,4.57966997657874e-15
PYK,0.0
PPS,4.980392156862759
dNMPs,0.0
dNTPs,0.0
DNA_biomass,0.0
EET,0.0
EMI,-10.431372549019626
NADH16,1.7051545611095744e-16
CYTBD,0.0
EX_glc__D_e,0.0
EX_lac__D_e,0.0
EX_h_e,-9.01960784313729
EX_ac_e,0.0
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,10.705882352941211
EX_h2o_e,0.0
EX_co2_e,-2.568627450980399
EX_nh4_e,-0.3333333333333328
EX_o2_e,0.0
EX_elect__ox_e,10.431372549019626
EX_elect_red_e,-10.431372549019626
EX_buty_e,0.0
EX_glyc_e,-1.0
EX_btoh_e,0.0
EX_for_e,0.0
EX_biomass_e,0.0
LDH_D,0.0
PTAr,-4.467014993197692e-16
ACKr,0.0
ACALD,0.0
ALCD2x,0.0
PFL,0.0
GLYCDx,0.0
DHAPT,0.0
GLYK,1.0
G3PT,0.0
G3PD2,1.0
CS,0.0
ACONTa,-9.758016909713015e-15
ACONTb,-9.758016909713015e-15
ICL,-9.683691138863861e-16
MALS,0.0
ICDHyr,-8.789647795826629e-15
AKGDH,-8.220114268733378e-15
SUCOAS,2.171396513506361e-16
SUCDi,0.0
FRD7,1.7051545611095744e-16
FUM,-1.17988407715066e-15
MDH,-4.3137254901961
PALs,0.0
OLEs,0.0
MALCOAs,0.0
OAs,0.0
ETNs,0.0
LIPs,0.0
LIP_biomass,0.0
GLUN6Ps,0.0
RHAs,0.0
dTDPdp,8.881784197001253e-17
dTTPs,0.0
H7Ps,0.0
MIRs,0.0
KDOs,0.0
LPSs,0.0
LPS_biomass,0.0
IMPs,-6.344131569286613e-16
AMPs,0.0
GMPs,0.0
UMPs,-8.881784197001253e-17
UTPs,0.0
CTPs,0.0
CMPs,0.0
TMPs,-8.881784197001253e-17
dAMPs,2.6645352591003757e-15
dGMPs,0.0
dCMPs,0.0
dTMPs,-8.881784197001253e-17
UMPk,0.0
G6PDH2r,0.0
PGL,0.0
GND,0.0
RPE,-0.33333333333333043
RPI,-0.33333333333333104
TKT1,-8.326672684688674e-16
TALA,-8.326672684688674e-16
TKT2,-0.3333333333333302
AMs,0.0
PROT_biomass,0.0
NADTRHD,0.0
THD2,8.995326914674818e-16
NMPs,0.0
NTPs,0.0
RNA_biomass,0.0
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,-8.882352941176489
PDH,-1.0784313725490164
GLYCtex,-1.0
D_LACtp,0.0
ACtp,0.0
BUTYtp,0.0
GLCtp,0.0
BTOHtp,0.0
ACALDtp,0.0
ETOHtp,0.0
Pitp,10.705882352941211
H2Otp,0.0
CO2tp,-2.568627450980399
NH4tp,-0.33333333333333115
O2tp,0.0
MET_REDtp,-10.431372549019626
MET_Oxtp,10.431372549019626
Htp,-1.2875190146020913e-15
FORtp,0.0
T_biomass_e,0.0
GLCpts,0.0
GLCt1,0.0
D_LACt2,0.0
ACt2r,0.0
ACALDt,0.0
ETOHt2r,0.0
PIt2r,-10.705882352941211
H2Ot,0.0
CO2t,2.568627450980426
BUTYt,0.0
NH4t,0.33333333333333115
O2t,0.0
GLYCtpp,-1.0
BTOHt2rpp,0.0
FORti,0.0
FORt2,0.0
PDH2,0.0
CF,1.0784313725490229
PROPs,0.7450980392156757
PROPt,0.7450980392156757
PROPte,0.7450980392156757
EX_prop_c,0.7450980392156757
IPAp,0.3333333333333323
IAAldp,0.3333333333333323
IAAs,0.3333333333333323
IAAt,0.3333333333333323
IAAte,0.3333333333333323
EX_iaa_c,0.3333333333333333
ATP_hypothethic,0.0
NADH_hypo,0.0
NADH_NADP_hypo,0.0
EET_hypo,5.215686274509813
