,fluxes
GLUDy,0.0
GLUSy,0.0
GLUN,0.0
GLNS,0.29699842022116896
PROs,0.0
ARGs,0.0
CARPs,0.0
LYSs,0.0
SERs,0.29699842022116896
GLYs,0.0
FTHFs,0.0
MYTHFs,0.0
METHFs,0.0
CYSs,0.0
ASPs,0.0
ASNs,0.0
HOMs,0.0
THRs,0.0
METs,0.0
ILEUs,0.0
ALAs,0.0
AKIs,0.0
VALs,0.0
LEUs,0.0
CHOs,0.29699842022116896
PHENs,0.0
TYRs,0.0
TRYPs,0.29699842022116896
PRPPs,0.29699842022116896
HISs,0.0
PPC,0.0
PPCK,0.0
ME1,0.0
ME2,-3.4122257415612116e-16
ADK1,0.0
ATPM,0.0
ATPS4r,-1.043574565011007e-16
Biomass,0.0
ACACT1r,0.0
HACD1i,0.0
ECOAH1,0.0
ACOAD1,0.0
BTCOAp,0.0
BTCOARx,0.0
ALCD4,0.0
CHs,0.0
CH_biomass,0.0
HEX1,0.0
PGI,-1.127962085308057
PFK,0.0
FBP,0.6729857819905216
FBA,-0.6729857819905216
TPI,0.3270142180094784
GAPD,0.030015797788309817
PGK,-0.030015797788309817
PGM,0.2669826224328594
ENO,-0.2669826224328594
PYK,0.0
PPS,0.0
dNMPs,0.0
dNTPs,0.0
DNA_biomass,0.0
EET,0.0
EMI,2.654028436018958
NADH16,0.0
CYTBD,0.0
EX_glc__D_e,0.0
EX_lac__D_e,0.0
EX_h_e,3.2780410742496064
EX_ac_e,0.0
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,1.503949447077409
EX_h2o_e,0.0
EX_co2_e,0.0
EX_nh4_e,-0.29699842022116896
EX_o2_e,0.0
EX_elect__ox_e,-2.654028436018958
EX_elect_red_e,2.654028436018958
EX_buty_e,0.0
EX_glyc_e,-1.0
EX_btoh_e,0.0
EX_for_e,0.030015797788310154
EX_biomass_e,0.0
LDH_D,0.0
PTAr,0.0
ACKr,0.0
ACALD,0.0
ALCD2x,0.0
PFL,0.030015797788310154
GLYCDx,-0.8609794628751971
DHAPT,-0.8609794628751971
GLYK,1.8609794628751972
G3PT,0.0
G3PD2,1.8609794628751972
CS,0.0
ACONTa,0.0
ACONTb,0.0
ICL,0.0
MALS,0.0
ICDHyr,0.0
AKGDH,0.0
SUCOAS,0.0
SUCDi,0.0
FRD7,0.0
FUM,0.0
MDH,0.0
PALs,0.0
OLEs,0.0
MALCOAs,0.0
OAs,0.0
ETNs,0.0
LIPs,0.0
LIP_biomass,0.0
GLUN6Ps,0.0
RHAs,0.0
dTDPdp,0.0
dTTPs,0.0
H7Ps,0.0
MIRs,0.0
KDOs,0.0
LPSs,0.0
LPS_biomass,0.0
IMPs,0.0
AMPs,0.0
GMPs,0.0
UMPs,0.0
UTPs,0.0
CTPs,0.0
CMPs,0.0
TMPs,0.0
dAMPs,0.0
dGMPs,0.0
dCMPs,0.0
dTMPs,0.0
UMPk,0.0
G6PDH2r,1.127962085308057
PGL,1.127962085308057
GND,1.127962085308057
RPE,0.4549763033175354
RPI,-0.6729857819905212
TKT1,0.37598736176935227
TALA,0.37598736176935227
TKT2,0.07898894154818316
AMs,0.0
PROT_biomass,0.0
NADTRHD,0.0
THD2,0.0
NMPs,0.0
NTPs,0.0
RNA_biomass,0.0
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,-2.067930489731438
PDH,0.0
GLYCtex,-1.0
D_LACtp,0.0
ACtp,0.0
BUTYtp,0.0
GLCtp,0.0
BTOHtp,0.0
ACALDtp,0.0
ETOHtp,0.0
Pitp,1.503949447077409
H2Otp,0.0
CO2tp,0.0
NH4tp,-0.29699842022116896
O2tp,0.0
MET_REDtp,2.654028436018958
MET_Oxtp,-2.654028436018958
Htp,3.130723695033021e-16
FORtp,0.030015797788310154
T_biomass_e,0.0
GLCpts,0.0
GLCt1,0.0
D_LACt2,0.0
ACt2r,0.0
ACALDt,0.0
ETOHt2r,0.0
PIt2r,-1.503949447077409
H2Ot,0.0
CO2t,0.0
BUTYt,0.0
NH4t,0.29699842022116896
O2t,0.0
GLYCtpp,-1.0
BTOHt2rpp,0.0
FORti,-0.030015797788310154
FORt2,0.0
PDH2,-0.5939968404423385
CF,0.5639810426540283
PROPs,0.0
PROPt,0.0
PROPte,0.0
EX_prop_c,0.0
IPAp,0.29699842022116896
IAAldp,0.29699842022116896
IAAs,0.29699842022116896
IAAt,0.29699842022116896
IAAte,0.29699842022116896
EX_iaa_c,0.29699842022116896
ATP_hypothethic,0.0
NADH_hypo,0.0
NADH_NADP_hypo,0.0
EET_hypo,-1.327014218009479
