,fluxes
GLUDy,0.0
GLUSy,0.0
GLUN,0.0
GLNS,0.3333333333333335
PROs,0.0
ARGs,0.0
CARPs,0.0
LYSs,0.0
SERs,0.3333333333333335
GLYs,0.0
FTHFs,0.0
MYTHFs,0.0
METHFs,0.0
CYSs,0.0
ASPs,0.0
ASNs,0.0
HOMs,0.0
THRs,0.0
METs,0.0
ILEUs,0.0
ALAs,0.0
AKIs,0.0
VALs,0.0
LEUs,0.0
CHOs,0.3333333333333335
PHENs,0.0
TYRs,0.0
TRYPs,0.3333333333333335
PRPPs,0.3333333333333335
HISs,0.0
PPC,1.3333333333333337
PPCK,0.0
ME1,0.0
ME2,1.3333333333333335
ADK1,0.0
ATPM,0.0
ATPS4r,0.0
Biomass,0.0
ACACT1r,0.0
HACD1i,0.0
ECOAH1,0.0
ACOAD1,0.0
BTCOAp,0.0
BTCOARx,0.0
ALCD4,0.0
CHs,0.0
CH_biomass,0.0
HEX1,0.0
PGI,0.0
PFK,0.0
FBP,0.3333333333333335
FBA,-0.3333333333333335
TPI,0.6666666666666665
GAPD,0.333333333333333
PGK,-0.333333333333333
PGM,4.996003610813204e-16
ENO,-4.996003610813204e-16
PYK,0.0
PPS,0.0
dNMPs,0.0
dNTPs,0.0
DNA_biomass,0.0
EET,0.0
EMI,0.6666666666666651
NADH16,1.4802973661668753e-16
CYTBD,0.0
EX_glc__D_e,0.0
EX_lac__D_e,0.0
EX_h_e,1.3333333333333326
EX_ac_e,0.0
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,2.000000000000001
EX_h2o_e,0.0
EX_co2_e,-0.3333333333333333
EX_nh4_e,-0.3333333333333335
EX_o2_e,0.0
EX_elect__ox_e,-0.6666666666666651
EX_elect_red_e,0.6666666666666651
EX_buty_e,0.0
EX_glyc_e,-1.0
EX_btoh_e,0.0
EX_for_e,0.0
EX_biomass_e,0.0
LDH_D,0.0
PTAr,0.0
ACKr,0.0
ACALD,0.0
ALCD2x,0.0
PFL,0.0
GLYCDx,-2.000000000000001
DHAPT,-2.000000000000001
GLYK,3.000000000000001
G3PT,0.0
G3PD2,3.000000000000001
CS,-1.3877787807814457e-16
ACONTa,-1.3877787807814457e-16
ACONTb,-1.3877787807814457e-16
ICL,-1.3877787807814457e-16
MALS,-1.3877787807814457e-16
ICDHyr,0.0
AKGDH,0.0
SUCOAS,0.0
SUCDi,0.0
FRD7,1.4802973661668753e-16
FUM,-1.4802973661668753e-16
MDH,-1.333333333333334
PALs,0.0
OLEs,0.0
MALCOAs,0.0
OAs,0.0
ETNs,0.0
LIPs,0.0
LIP_biomass,0.0
GLUN6Ps,0.0
RHAs,0.0
dTDPdp,0.0
dTTPs,0.0
H7Ps,0.0
MIRs,0.0
KDOs,0.0
LPSs,0.0
LPS_biomass,0.0
IMPs,0.0
AMPs,0.0
GMPs,0.0
UMPs,0.0
UTPs,0.0
CTPs,0.0
CMPs,0.0
TMPs,0.0
dAMPs,0.0
dGMPs,0.0
dCMPs,0.0
dTMPs,0.0
UMPk,0.0
G6PDH2r,0.0
PGL,0.0
GND,0.0
RPE,-0.3333333333333335
RPI,-0.3333333333333335
TKT1,0.0
TALA,0.0
TKT2,-0.3333333333333335
AMs,0.0
PROT_biomass,0.0
NADTRHD,0.0
THD2,0.0
NMPs,0.0
NTPs,0.0
RNA_biomass,0.0
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,-1.666666666666667
PDH,0.0
GLYCtex,-1.0
D_LACtp,0.0
ACtp,0.0
BUTYtp,0.0
GLCtp,0.0
BTOHtp,0.0
ACALDtp,0.0
ETOHtp,0.0
Pitp,2.000000000000001
H2Otp,0.0
CO2tp,-0.3333333333333333
NH4tp,-0.3333333333333335
O2tp,0.0
MET_REDtp,0.6666666666666651
MET_Oxtp,-0.6666666666666651
Htp,4.440892098500626e-16
FORtp,0.0
T_biomass_e,0.0
GLCpts,0.0
GLCt1,0.0
D_LACt2,0.0
ACt2r,0.0
ACALDt,0.0
ETOHt2r,0.0
PIt2r,-2.000000000000001
H2Ot,0.0
CO2t,0.3333333333333333
BUTYt,0.0
NH4t,0.3333333333333335
O2t,0.0
GLYCtpp,-1.0
BTOHt2rpp,0.0
FORti,0.0
FORt2,0.0
PDH2,-0.33333333333333354
CF,0.33333333333333326
PROPs,0.0
PROPt,0.0
PROPte,0.0
EX_prop_c,0.0
IPAp,0.3333333333333335
IAAldp,0.3333333333333335
IAAs,0.3333333333333335
IAAt,0.3333333333333335
IAAte,0.3333333333333335
EX_iaa_c,0.3333333333333335
ATP_hypothethic,3.433333333333337
NADH_hypo,0.0
NADH_NADP_hypo,0.0
EET_hypo,-0.33333333333333254
