,fluxes
GLUDy,-2.28579461968711e-16
GLUSy,0.0
GLUN,0.0
GLNS,-8.326672684688674e-17
PROs,1.2325951644078315e-32
ARGs,-8.326672684688674e-17
CARPs,-8.326672684688674e-17
LYSs,0.0
SERs,0.0
GLYs,0.0
FTHFs,0.0
MYTHFs,0.0
METHFs,0.0
CYSs,0.0
ASPs,-8.326672684688674e-17
ASNs,0.0
HOMs,0.0
THRs,0.0
METs,0.0
ILEUs,0.0
ALAs,0.0
AKIs,0.0
VALs,0.0
LEUs,0.0
CHOs,-8.326672684688674e-17
PHENs,0.0
TYRs,0.0
TRYPs,-8.326672684688674e-17
PRPPs,-1.332267629550188e-16
HISs,0.0
PPC,-8.326672684688672e-17
PPCK,0.0
ME1,0.0
ME2,0.0
ADK1,0.0
ATPM,4.725142857142856
ATPS4r,0.0
Biomass,0.0
ACACT1r,0.0
HACD1i,0.0
ECOAH1,0.0
ACOAD1,0.0
BTCOAp,0.0
BTCOARx,0.0
ALCD4,0.0
CHs,0.0
CH_biomass,0.0
HEX1,0.0
PGI,-0.340714285714285
PFK,0.0
FBP,0.11357142857142816
FBA,-0.11357142857142816
TPI,0.8864285714285718
GAPD,0.8864285714285719
PGK,-0.8864285714285719
PGM,-0.8864285714285719
ENO,0.8864285714285719
PYK,0.8864285714285721
PPS,0.0
dNMPs,0.0
dNTPs,0.0
DNA_biomass,0.0
EET,0.0
EMI,-3.1799999999999966
NADH16,-8.326672684688674e-17
CYTBD,0.0
EX_glc__D_e,0.0
EX_lac__D_e,0.0
EX_h_e,-1.9528571428571366
EX_ac_e,0.0
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,4.292999999999997
EX_h2o_e,0.0
EX_co2_e,-0.6814285714285688
EX_nh4_e,-2.0082388635308207e-16
EX_o2_e,0.0
EX_elect__ox_e,3.1799999999999966
EX_elect_red_e,-3.18
EX_buty_e,0.0
EX_glyc_e,-1.0
EX_btoh_e,0.0
EX_for_e,0.0
EX_biomass_e,0.0
LDH_D,0.0
PTAr,1.7763568394002505e-15
ACKr,-1.7763568394002505e-15
ACALD,0.0
ALCD2x,0.0
PFL,2.0348008992040623e-15
GLYCDx,0.0
DHAPT,0.0
GLYK,1.0
G3PT,0.0
G3PD2,1.0
CS,0.0
ACONTa,0.0
ACONTb,0.0
ICL,0.0
MALS,0.0
ICDHyr,0.0
AKGDH,-2.4651903288156624e-32
SUCOAS,3.1184618881559775e-16
SUCDi,8.326672684688674e-17
FRD7,0.0
FUM,-2.4651903288156613e-32
MDH,-2.4651903288156613e-32
PALs,0.0
OLEs,0.0
MALCOAs,0.0
OAs,0.0
ETNs,0.0
LIPs,0.0
LIP_biomass,0.0
GLUN6Ps,0.0
RHAs,0.0
dTDPdp,0.0
dTTPs,0.0
H7Ps,0.0
MIRs,0.0
KDOs,0.0
LPSs,0.0
LPS_biomass,0.0
IMPs,0.0
AMPs,0.0
GMPs,0.0
UMPs,0.0
UTPs,0.0
CTPs,0.0
CMPs,0.0
TMPs,0.0
dAMPs,0.0
dGMPs,0.0
dCMPs,0.0
dTMPs,0.0
UMPk,0.0
G6PDH2r,0.340714285714285
PGL,0.340714285714285
GND,0.340714285714285
RPE,0.22714285714285695
RPI,-0.11357142857142816
TKT1,0.1135714285714283
TALA,0.1135714285714283
TKT2,0.11357142857142857
AMs,0.0
PROT_biomass,0.0
NADTRHD,0.0
THD2,0.0
NMPs,0.0
NTPs,0.0
RNA_biomass,0.0
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,-3.065857142857141
PDH,-3.417107866506985e-16
GLYCtex,-1.0
D_LACtp,0.0
ACtp,1.6930901125533637e-15
BUTYtp,0.0
GLCtp,0.0
BTOHtp,0.0
ACALDtp,0.0
ETOHtp,0.0
Pitp,4.292999999999997
H2Otp,0.0
CO2tp,-0.6814285714285708
NH4tp,-2.0082388635308207e-16
O2tp,0.0
MET_REDtp,-3.1799999999999966
MET_Oxtp,3.1799999999999966
Htp,-2.498001805406602e-16
FORtp,2.0348008992040623e-15
T_biomass_e,0.0
GLCpts,0.0
GLCt1,0.0
D_LACt2,0.0
ACt2r,-1.6930901125533637e-15
ACALDt,0.0
ETOHt2r,0.0
PIt2r,-4.292999999999997
H2Ot,0.0
CO2t,0.6814285714285708
BUTYt,0.0
NH4t,2.0082388635308207e-16
O2t,0.0
GLYCtpp,-1.0
BTOHt2rpp,0.0
FORti,-2.0348008992040623e-15
FORt2,0.0
PDH2,0.0
CF,0.0
PROPs,1.2271428571428555
PROPt,1.2271428571428555
PROPte,1.2271428571428555
EX_prop_c,1.2271428571428575
IPAp,-8.326672684688674e-17
IAAldp,-8.326672684688674e-17
IAAs,-8.326672684688674e-17
IAAt,-8.326672684688674e-17
IAAte,-8.326672684688674e-17
EX_iaa_c,-8.326672684688674e-17
ATP_hypothethic,0.0
NADH_hypo,0.0
NADH_NADP_hypo,0.0
EET_hypo,0.0
CF_2,0.3407142857142852
EET_hypo_2,1.5899999999999983
