,fluxes
GLUDy,0.0
GLUSy,0.0
GLUN,0.0
GLNS,0.0
PROs,0.0
ARGs,0.0
CARPs,0.0
LYSs,0.0
SERs,1.603655480014115e-16
GLYs,0.0
FTHFs,0.0
MYTHFs,0.0
METHFs,0.0
CYSs,0.0
ASPs,0.0
ASNs,0.0
HOMs,0.0
THRs,0.0
METs,0.0
ILEUs,0.0
ALAs,0.0
AKIs,0.0
VALs,0.0
LEUs,0.0
CHOs,1.603655480014115e-16
PHENs,0.0
TYRs,0.0
TRYPs,1.603655480014115e-16
PRPPs,1.603655480014115e-16
HISs,0.0
PPC,-1.1102230246251575e-16
PPCK,0.0
ME1,0.0
ME2,0.0
ADK1,0.0
ATPM,0.0
ATPS4r,-1.356939252319636e-16
Biomass,0.0
ACACT1r,0.0
HACD1i,0.0
ECOAH1,0.0
ACOAD1,0.0
BTCOAp,0.0
BTCOARx,0.0
ALCD4,0.0
CHs,0.0
CH_biomass,0.0
HEX1,0.0
PGI,-1.9999999999999964
PFK,0.0
FBP,0.6666666666666657
FBA,-0.6666666666666657
TPI,0.33333333333333426
GAPD,0.3333333333333342
PGK,-0.3333333333333342
PGM,-0.33333333333333404
ENO,0.33333333333333404
PYK,0.33333333333333365
PPS,0.0
dNMPs,0.0
dNTPs,0.0
DNA_biomass,0.0
EET,-5.666666666666661
EMI,11.333333333333321
NADH16,0.0
CYTBD,0.0
EX_glc__D_e,0.0
EX_lac__D_e,0.0
EX_h_e,11.666666666666655
EX_ac_e,0.333333333333334
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,-2.0400348077487216e-15
EX_h2o_e,0.0
EX_co2_e,2.333333333333331
EX_nh4_e,0.0
EX_o2_e,0.0
EX_elect__ox_e,-11.333333333333321
EX_elect_red_e,11.333333333333321
EX_buty_e,0.0
EX_glyc_e,-1.0
EX_btoh_e,0.0
EX_for_e,0.0
EX_biomass_e,0.0
LDH_D,0.0
PTAr,0.333333333333334
ACKr,-0.333333333333334
ACALD,0.0
ALCD2x,0.0
PFL,0.0
GLYCDx,0.0
DHAPT,0.0
GLYK,1.0
G3PT,0.0
G3PD2,1.0
CS,1.110223024625156e-16
ACONTa,1.110223024625156e-16
ACONTb,1.110223024625156e-16
ICL,0.0
MALS,0.0
ICDHyr,1.110223024625156e-16
AKGDH,1.110223024625156e-16
SUCOAS,-8.018277400070576e-17
SUCDi,0.0
FRD7,-8.018277400070576e-17
FUM,8.018277400070576e-17
MDH,2.2204460492503136e-16
PALs,0.0
OLEs,0.0
MALCOAs,0.0
OAs,0.0
ETNs,0.0
LIPs,0.0
LIP_biomass,0.0
GLUN6Ps,0.0
RHAs,0.0
dTDPdp,0.0
dTTPs,0.0
H7Ps,0.0
MIRs,0.0
KDOs,0.0
LPSs,0.0
LPS_biomass,0.0
IMPs,0.0
AMPs,0.0
GMPs,0.0
UMPs,0.0
UTPs,0.0
CTPs,0.0
CMPs,0.0
TMPs,0.0
dAMPs,0.0
dGMPs,0.0
dCMPs,0.0
dTMPs,0.0
UMPk,0.0
G6PDH2r,1.9999999999999964
PGL,1.9999999999999964
GND,1.9999999999999964
RPE,1.3333333333333308
RPI,-0.6666666666666656
TKT1,0.6666666666666655
TALA,0.6666666666666655
TKT2,0.6666666666666653
AMs,0.0
PROT_biomass,0.0
NADTRHD,3.999999999999993
THD2,0.0
NMPs,0.0
NTPs,0.0
RNA_biomass,0.0
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,-2.3333333333333264
PDH,0.33333333333333337
GLYCtex,-1.0
D_LACtp,0.0
ACtp,0.333333333333334
BUTYtp,0.0
GLCtp,0.0
BTOHtp,0.0
ACALDtp,0.0
ETOHtp,0.0
Pitp,-2.0400348077487216e-15
H2Otp,0.0
CO2tp,2.333333333333331
NH4tp,0.0
O2tp,0.0
MET_REDtp,11.333333333333321
MET_Oxtp,-11.333333333333321
Htp,4.0708177569589076e-16
FORtp,0.0
T_biomass_e,0.0
GLCpts,0.0
GLCt1,0.0
D_LACt2,0.0
ACt2r,-0.333333333333334
ACALDt,0.0
ETOHt2r,0.0
PIt2r,2.0400348077487216e-15
H2Ot,0.0
CO2t,-2.333333333333331
BUTYt,0.0
NH4t,0.0
O2t,0.0
GLYCtpp,-1.0
BTOHt2rpp,0.0
FORti,0.0
FORt2,0.0
PDH2,0.0
CF,0.0
PROPs,0.0
PROPt,0.0
PROPte,0.0
EX_prop_c,0.0
IPAp,1.603655480014115e-16
IAAldp,0.0
IAAs,0.0
IAAt,0.0
IAAte,0.0
EX_iaa_c,0.0
ATP_hypothethic,0.0
NADH_hypo,0.0
