,fluxes
GLUDy,0.0
GLUSy,0.0
GLUN,0.0
GLNS,0.22222222222222182
PROs,0.0
ARGs,0.0
CARPs,0.0
LYSs,0.0
SERs,0.22222222222222207
GLYs,0.0
FTHFs,0.0
MYTHFs,0.0
METHFs,0.0
CYSs,0.0
ASPs,0.0
ASNs,0.0
HOMs,0.0
THRs,0.0
METs,0.0
ILEUs,0.0
ALAs,0.0
AKIs,0.0
VALs,0.0
LEUs,0.0
CHOs,0.22222222222222207
PHENs,0.0
TYRs,0.0
TRYPs,0.22222222222222207
PRPPs,0.22222222222222207
HISs,0.0
PPC,1.0370370370370363
PPCK,0.0
ME1,0.0
ME2,1.0370370370370363
ADK1,1.148148148148147
ATPM,0.0
ATPS4r,0.0
Biomass,0.0
ACACT1r,4.9303806576313205e-32
HACD1i,3.7315829438789935e-16
ECOAH1,4.9303806576313205e-32
ACOAD1,0.0
BTCOAp,0.0
BTCOARx,4.9303806576313205e-32
ALCD4,-4.9303806576313205e-32
CHs,0.0
CH_biomass,0.0
HEX1,0.0
PGI,5.329070518200755e-16
PFK,0.0
FBP,0.22222222222222174
FBA,-0.22222222222222174
TPI,0.7777777777777782
GAPD,0.555555555555556
PGK,-0.555555555555556
PGM,-0.33333333333333337
ENO,0.33333333333333315
PYK,0.0
PPS,1.148148148148147
dNMPs,0.0
dNTPs,0.0
DNA_biomass,0.0
EET,0.0
EMI,3.194633841609145e-16
NADH16,0.0
CYTBD,0.0
EX_glc__D_e,0.0
EX_lac__D_e,0.0
EX_h_e,0.8148148148148153
EX_ac_e,0.0
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,2.3333333333333313
EX_h2o_e,0.0
EX_co2_e,-0.3333333333333333
EX_nh4_e,-0.22222222222222185
EX_o2_e,0.0
EX_elect__ox_e,0.0
EX_elect_red_e,3.194633841609145e-16
EX_buty_e,0.0
EX_glyc_e,-1.0
EX_btoh_e,0.0
EX_for_e,0.0
EX_biomass_e,0.0
LDH_D,0.0
PTAr,0.0
ACKr,0.0
ACALD,0.0
ALCD2x,0.0
PFL,0.0
GLYCDx,0.0
DHAPT,-1.8683841756597296e-16
GLYK,0.999999999999999
G3PT,0.0
G3PD2,0.999999999999999
CS,0.0
ACONTa,0.0
ACONTb,0.0
ICL,0.0
MALS,0.0
ICDHyr,0.0
AKGDH,0.0
SUCOAS,0.0
SUCDi,0.0
FRD7,0.0
FUM,0.0
MDH,-1.0370370370370363
PALs,0.0
OLEs,0.0
MALCOAs,0.0
OAs,0.0
ETNs,0.0
LIPs,0.0
LIP_biomass,0.0
GLUN6Ps,0.0
RHAs,0.0
dTDPdp,0.0
dTTPs,0.0
H7Ps,0.0
MIRs,0.0
KDOs,0.0
LPSs,0.0
LPS_biomass,0.0
IMPs,0.0
AMPs,0.0
GMPs,0.0
UMPs,0.0
UTPs,0.0
CTPs,0.0
CMPs,0.0
TMPs,0.0
dAMPs,0.0
dGMPs,0.0
dCMPs,0.0
dTMPs,0.0
UMPk,0.0
G6PDH2r,-5.329070518200755e-16
PGL,0.0
GND,-5.329070518200755e-16
RPE,-0.2222222222222222
RPI,-0.22222222222222188
TKT1,-2.0816681711721685e-16
TALA,-8.503835933299074e-17
TKT2,-0.22222222222222218
AMs,0.0
PROT_biomass,0.0
NADTRHD,0.0
THD2,0.0
NMPs,0.0
NTPs,0.0
RNA_biomass,0.0
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,-1.7037037037037042
PDH,0.0
GLYCtex,-1.0
D_LACtp,0.0
ACtp,0.0
BUTYtp,0.0
GLCtp,0.0
BTOHtp,4.9303806576313205e-32
ACALDtp,0.0
ETOHtp,0.0
Pitp,2.3333333333333313
H2Otp,0.0
CO2tp,-0.3333333333333333
NH4tp,-0.22222222222222185
O2tp,0.0
MET_REDtp,3.194633841609145e-16
MET_Oxtp,0.0
Htp,0.0
FORtp,0.0
T_biomass_e,0.0
GLCpts,0.0
GLCt1,0.0
D_LACt2,0.0
ACt2r,0.0
ACALDt,0.0
ETOHt2r,0.0
PIt2r,-2.3333333333333313
H2Ot,0.0
CO2t,0.3333333333333333
BUTYt,0.0
NH4t,0.22222222222222185
O2t,0.0
GLYCtpp,-1.0
BTOHt2rpp,-4.9303806576313205e-32
FORti,0.0
FORt2,0.0
PDH2,-0.2592592592592593
CF,0.2592592592592588
PROPs,0.37037037037037107
PROPt,0.37037037037037107
PROPte,0.37037037037037107
EX_prop_c,0.37037037037037035
IPAp,0.22222222222222207
IAAldp,0.22222222222222207
IAAs,0.22222222222222207
IAAt,0.22222222222222207
IAAte,0.22222222222222207
EX_iaa_c,0.22222222222222207
ATP_hypothethic,3.8888888888888857
NADH_hypo,0.0
NADH_NADP_hypo,0.0
EET_hypo,0.0
