,fluxes
GLUDy,1.9374401736538393e-16
GLUSy,0.0
GLUN,0.0
GLNS,-5.552528382001194e-16
PROs,0.0
ARGs,0.0
CARPs,0.0
LYSs,0.0
SERs,-1.8075441041736752e-16
GLYs,0.0
FTHFs,0.0
MYTHFs,2.3481644423637903e-16
METHFs,8.12062696551042e-32
CYSs,0.0
ASPs,2.594591072122884e-16
ASNs,0.0
HOMs,0.0
THRs,0.0
METs,0.0
ILEUs,-2.594591072122884e-16
ALAs,5.916456789157588e-31
AKIs,1.0698428280022864e-15
VALs,0.0
LEUs,0.0
CHOs,0.0
PHENs,0.0
TYRs,0.0
TRYPs,-1.8075441041736752e-16
PRPPs,0.0
HISs,-3.744984277827518e-16
PPC,0.0
PPCK,0.0
ME1,0.0
ME2,-9.727743077922738e-16
ADK1,0.0
ATPM,2.0000000000000147
ATPS4r,-5.121564548119112e-17
Biomass,0.0
ACACT1r,2.6206981267979583e-18
HACD1i,-2.6206981267979583e-18
ECOAH1,2.6206981267979583e-18
ACOAD1,0.0
BTCOAp,1.3877787807814459e-15
BTCOARx,0.0
ALCD4,0.0
CHs,-2.4293618709534265e-15
CH_biomass,0.0
HEX1,0.0
PGI,1.4333811475571851e-15
PFK,0.0
FBP,-3.1086244689504383e-15
FBA,3.1086244689504383e-15
TPI,1.0000000000000004
GAPD,1.000000000000005
PGK,-1.000000000000005
PGM,-1.0000000000000053
ENO,1.0000000000000053
PYK,1.0000000000000053
PPS,0.0
dNMPs,0.0
dNTPs,0.0
DNA_biomass,0.0
EET,0.0
EMI,1.1097749261128285e-15
NADH16,2.9958634327097567e-16
CYTBD,-5.262029831282501e-16
EX_glc__D_e,0.0
EX_lac__D_e,0.0
EX_h_e,4.0000000000000515
EX_ac_e,1.0
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,4.3009722242552275e-15
EX_h2o_e,0.0
EX_co2_e,-2.000000000000033
EX_nh4_e,1.1234952833482551e-15
EX_o2_e,0.0
EX_elect__ox_e,0.0
EX_elect_red_e,0.0
EX_buty_e,0.0
EX_glyc_e,-1.0
EX_btoh_e,0.0
EX_for_e,3.000000000000053
EX_biomass_e,0.0
LDH_D,7.669433831831935e-16
PTAr,1.0
ACKr,-1.0
ACALD,0.0
ALCD2x,1.2848134464300114e-15
PFL,3.000000000000053
GLYCDx,0.0
DHAPT,0.0
GLYK,0.9999999999999973
G3PT,0.0
G3PD2,0.9999999999999973
CS,8.165282169846534e-16
ACONTa,8.165282169846534e-16
ACONTb,0.0
ICL,0.0
MALS,0.0
ICDHyr,0.0
AKGDH,0.0
SUCOAS,6.175615574477625e-16
SUCDi,0.0
FRD7,6.175615574477625e-16
FUM,-6.175615574477625e-16
MDH,3.5521275034451134e-16
PALs,0.0
OLEs,0.0
MALCOAs,-1.01769548350023e-15
OAs,0.0
ETNs,0.0
LIPs,0.0
LIP_biomass,0.0
GLUN6Ps,0.0
RHAs,0.0
dTDPdp,6.236651658154986e-32
dTTPs,2.2857532859929795e-16
H7Ps,0.0
MIRs,0.0
KDOs,0.0
LPSs,0.0
LPS_biomass,0.0
IMPs,0.0
AMPs,0.0
GMPs,0.0
UMPs,0.0
UTPs,4.868339725358047e-15
CTPs,0.0
CMPs,0.0
TMPs,1.1359520472651193e-15
dAMPs,0.0
dGMPs,0.0
dCMPs,0.0
dTMPs,2.285753285992979e-16
UMPk,0.0
G6PDH2r,0.0
PGL,0.0
GND,1.1370110012845862e-15
RPE,1.2320719156517647e-15
RPI,-3.7900366709486207e-16
TKT1,2.673700880239658e-16
TALA,2.673700880239658e-16
TKT2,1.6596192023005818e-15
AMs,0.0
PROT_biomass,0.0
NADTRHD,3.770144247110393e-14
THD2,0.0
NMPs,0.0
NTPs,0.0
RNA_biomass,0.0
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,-1.0000000000000133
PDH,-2.0000000000000484
GLYCtex,-0.9999999999999973
D_LACtp,-7.6694338318319395e-16
ACtp,1.0000000000000002
BUTYtp,0.0
GLCtp,0.0
BTOHtp,0.0
ACALDtp,0.0
ETOHtp,0.0
Pitp,4.3009722242552275e-15
H2Otp,0.0
CO2tp,-2.000000000000033
NH4tp,1.1234952833482551e-15
O2tp,0.0
MET_REDtp,0.0
MET_Oxtp,0.0
Htp,0.0
FORtp,3.000000000000053
T_biomass_e,0.0
GLCpts,0.0
GLCt1,0.0
D_LACt2,7.6694338318319395e-16
ACt2r,-1.0000000000000002
ACALDt,0.0
ETOHt2r,0.0
PIt2r,-4.3009722242552275e-15
H2Ot,0.0
CO2t,2.000000000000033
BUTYt,-3.5613282020584006e-16
NH4t,-1.1234952833482551e-15
O2t,0.0
GLYCtpp,-0.9999999999999973
BTOHt2rpp,0.0
FORti,-3.000000000000053
FORt2,0.0
PDH2,0.0
CF,-6.978950924830572e-15
PROPs,-9.323108439926636e-15
PROPt,-1.1097749261128285e-15
PROPte,-1.1097749261128285e-15
EX_prop_c,0.0
IPAp,-3.6150882083473484e-16
IAAldp,-3.6150882083473484e-16
IAAs,-3.6150882083473484e-16
IAAt,-3.6150882083473484e-16
IAAte,-3.6150882083473484e-16
EX_iaa_c,-3.6150882083473484e-16
ATP_hypothethic,0.0
NADH_hypo,0.0
NADH_NADP_hypo,0.0
EET_hypo,0.0
