,fluxes
PPC,0.0
PPCK,0.0
ME1,0.0
ME2,0.0
ADK1,0.0
ATPM,4.666666666666667
ATPS4r,0.666666666666667
ACACT1r,0.0
HACD1i,0.0
ECOAH1,0.0
ACOAD1,0.0
BTCOARx,0.0
ALCD4,0.0
HEX1,0.0
PGI,1.0
PFK,1.0
FBP,0.0
FBA,1.0
TPI,1.0
GAPD,2.0
PGK,-2.0
PGM,-2.0
ENO,2.0
PYK,1.0
PPS,0.0
EET,-4.0
EMI,8.0
NADH16,0.0
CYTBD,0.0
EX_glc__D_e,-1.0
EX_lac__D_e,0.0
EX_h_e,0.0
EX_ac_e,2.0
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,8.881784197001252e-16
EX_h2o_e,-2.0000000000000004
EX_co2_e,2.0
EX_nh4_e,0.0
EX_o2_e,0.0
EX_elect__ox_e,-8.0
EX_elect_red_e,8.0
EX_glyc_e,0.0
EX_btoh_e,0.0
LDH_D,0.0
PTAr,2.0
ACKr,-2.0
ACALD,0.0
ALCD2x,0.0
GLYCDx,0.0
DHAPT,0.0
GLYK,0.0
G3PT,0.0
G3PD2,0.0
CS,0.0
ACONTa,0.0
ACONTb,0.0
ICL,0.0
MALS,0.0
ICDHyr,0.0
AKGDH,0.0
SUCOAS,0.0
SUCDi,0.0
FRD7,0.0
FUM,0.0
MDH,0.0
G6PDH2r,0.0
PGL,0.0
GND,0.0
RPE,0.0
RPI,0.0
TKT1,0.0
TALA,0.0
TKT2,0.0
NADTRHD,0.0
THD2,0.0
PDH,2.0
GLCpts,1.0
GLCt1,0.0
D_LACt2,0.0
ACt2r,-2.0
ACALDt,0.0
ETOHt2r,0.0
PIt2r,-8.881784197001252e-16
H2Ot,2.0
CO2t,-2.0
NH4t,0.0
O2t,0.0
SINK_H_c,6.666666666666667
GLYCtex,0.0
GLYCtpp,0.0
BTOHt2rpp,0.0
D_LACtp,0.0
ACtp,2.0
GLCtp,-1.0
BTOHtp,0.0
ACALDtp,0.0
ETOHtp,0.0
Pitp,8.881784197001252e-16
H2Otp,-2.0000000000000004
CO2tp,2.0
NH4tp,0.0
O2tp,0.0
MET_REDtp,8.0
MET_Oxtp,-8.0
Htp,0.0
PFL,0.0
FORti,0.0
FORt2,0.0
FORtp,0.0
GLUDy,0.0
GLUSy,0.0
GLUN,0.0
GLNS,0.0
EX_for_e,0.0
