,fluxes
PPC,3.608224830031759e-16
PPCK,0.0
ME1,0.0
ME2,0.0
ADK1,0.0
ATPM,2.000000000000002
ATPS4r,0.5000000000000009
ACACT1r,2.4781763942525816e-16
HACD1i,-2.4781763942525816e-16
ECOAH1,2.4781763942525816e-16
ACOAD1,2.4781763942525816e-16
BTCOARx,-8.326672684688685e-17
ALCD4,8.326672684688685e-17
HEX1,0.0
PGI,1.0000000000000002
PFK,1.0
FBP,0.0
FBA,1.0
TPI,0.5000000000000017
GAPD,1.5000000000000018
PGK,-1.5000000000000018
PGM,-1.5000000000000018
ENO,1.5000000000000018
PYK,1.0
PPS,0.0
EET,0.5000000000000002
EMI,-1.0000000000000004
NADH16,3.700743415417193e-17
CYTBD,0.0
EX_glc__D_e,-1.0
EX_lac__D_e,1.5000000000000018
EX_h_e,0.0
EX_ac_e,0.0
EX_acald_e,0.0
EX_etoh_e,-1.3877787807814415e-17
EX_pi_e,7.771561172376094e-16
EX_h2o_e,6.133982211054003e-16
EX_co2_e,1.9065437059783195e-16
EX_nh4_e,0.0
EX_o2_e,0.0
EX_elect__ox_e,1.0000000000000004
EX_elect_red_e,-1.0
EX_glyc_e,0.49999999999999833
EX_btoh_e,0.0
LDH_D,-1.5000000000000018
PTAr,0.0
ACKr,0.0
ACALD,1.3877787807814415e-17
ALCD2x,1.3877787807814415e-17
GLYCDx,-0.4999999999999986
DHAPT,-0.4999999999999986
GLYK,2.701542693254548e-16
G3PT,0.0
G3PD2,2.7755575615628914e-16
CS,0.0
ACONTa,-3.700743415417193e-17
ACONTb,-3.700743415417193e-17
ICL,0.0
MALS,-3.826304352725986e-16
ICDHyr,3.826304352725986e-16
AKGDH,1.6884641832840922e-16
SUCOAS,1.0917193075480656e-16
SUCDi,0.0
FRD7,3.700743415417193e-17
FUM,-3.700743415417193e-17
MDH,-5.421589103586186e-16
G6PDH2r,-2.220446049250313e-16
PGL,-2.220446049250313e-16
GND,0.0
RPE,-1.4802973661668753e-16
RPI,7.401486830834378e-17
TKT1,-7.401486830834378e-17
TALA,-7.401486830834378e-17
TKT2,-7.401486830834377e-17
NADTRHD,0.0
THD2,0.0
PDH,0.0
GLCpts,1.0
GLCt1,0.0
D_LACt2,-1.5000000000000018
ACt2r,0.0
ACALDt,0.0
ETOHt2r,1.3877787807814415e-17
PIt2r,-7.771561172376094e-16
H2Ot,-1.2795320358804933e-15
CO2t,-1.9065437059783195e-16
NH4t,0.0
O2t,0.0
SINK_H_c,1.5000000000000027
GLYCtex,0.49999999999999833
GLYCtpp,0.49999999999999833
BTOHt2rpp,8.326672684688684e-17
D_LACtp,1.5000000000000018
ACtp,0.0
GLCtp,-1.0
BTOHtp,-8.326672684688693e-17
ACALDtp,0.0
ETOHtp,-1.3877787807814415e-17
Pitp,7.771561172376094e-16
H2Otp,5.689893001203929e-16
CO2tp,1.9065437059783195e-16
NH4tp,0.0
O2tp,0.0
MET_REDtp,-1.0000000000000004
MET_Oxtp,1.0000000000000004
Htp,0.0
PFL,0.0
FORti,0.0
FORt2,0.0
FORtp,0.0
GLUDy,0.0
GLUSy,0.0
GLUN,0.0
GLNS,0.0
EX_for_e,0.0
