,fluxes
GLUDy,-0.1220169997177466
GLUSy,0.0
GLUN,0.0
GLNS,0.0519312716914201
PROs,0.002534593017806231
ARGs,0.003400063804374212
CARPs,0.003400063804374212
LYSs,0.003956437881453599
SERs,0.0281174915741558
GLYs,0.0206341685635393
FTHFs,0.02704988849060498
MYTHFs,0.0017927609150336754
METHFs,-0.019200808865243127
CYSs,0.002843689727294795
ASPs,0.046565032573803664
ASNs,0.002781870385397082
HOMs,0.008036514446702682
THRs,0.006243753531669007
METs,0.0017927609150336754
ILEUs,0.0033382444624764987
ALAs,0.005934656822180443
AKIs,0.010076552729327209
VALs,0.004883728009919322
LEUs,0.005192824719407887
CHOs,0.004450992616635331
PHENs,0.002163676966419953
TYRs,0.0016073028893405362
TRYPs,0.0006800127608748423
PRPPs,0.024395200195202096
HISs,0.0011127481541588328
PPC,0.038422542112414956
PPCK,0.0
ME1,0.0
ME2,0.0
ADK1,3.469446951953614e-18
ATPM,0.0
ATPS4r,0.0
Biomass,0.49419891196508864
ACACT1r,0.8683728609547273
HACD1i,-0.8683728609547273
ECOAH1,0.8683728609547273
ACOAD1,0.8683728609547273
BTCOAp,0.0
BTCOARx,0.8683728609547273
ALCD4,-0.8683728609547273
CHs,0.001873013876347686
CH_biomass,0.001873013876347686
HEX1,0.0
PGI,0.8699015829223988
PFK,2.063743579491274
FBP,1.1271285171848224
FBA,0.9366150623064518
TPI,0.9346568485376813
GAPD,1.9034923636878214
PGK,-1.9034923636878214
PGM,-1.8753748721136656
ENO,1.8753748721136656
PYK,0.8341526536290654
PPS,0.0
dNMPs,0.007665025124578454
dNTPs,0.007665025124578463
DNA_biomass,0.007665025124578524
EET,-0.32384079797178267
EMI,0.6476815959435653
NADH16,-2.168404344971009e-19
CYTBD,0.0
EX_glc__D_e,-1.0
EX_lac__D_e,0.0
EX_h_e,0.23401711134080516
EX_ac_e,0.0
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,-0.6343557496139222
EX_h2o_e,1.5640635584608056
EX_co2_e,1.9113042647290441
EX_nh4_e,-0.17611194837558666
EX_o2_e,0.0
EX_elect__ox_e,-0.6476815959435653
EX_elect_red_e,0.6476815959435653
EX_buty_e,0.0
EX_glyc_e,0.0
EX_btoh_e,0.8683728609547273
EX_for_e,0.0
EX_biomass_e,0.49419891196508864
LDH_D,0.0
PTAr,-0.006243753531669007
ACKr,0.006243753531669007
ACALD,0.0
ALCD2x,0.0
PFL,0.0
GLYCDx,-0.001958213768770464
DHAPT,-0.001958213768770464
GLYK,0.0
G3PT,0.0
G3PD2,-3.0357660829594124e-18
CS,0.01574479186005636
ACONTa,0.015744791860056267
ACONTb,0.015744791860056267
ICL,0.0
MALS,0.0
ICDHyr,0.015744791860056267
AKGDH,0.0
SUCOAS,0.0017927609150336751
SUCDi,0.0
FRD7,-2.168404344971009e-19
FUM,0.023887282321445064
MDH,0.023887282321445064
PALs,0.0036252060026981192
OLEs,0.0011448018955888825
MALCOAs,0.0382176274755617
OAs,0.004770007898286998
ETNs,0.0014868468465381657
LIPs,0.006276326181956626
LIP_biomass,0.006276326181956626
GLUN6Ps,0.00020459834955354668
RHAs,0.00010229917477677334
dTDPdp,0.00010229917477677334
dTTPs,0.00010229917477677334
H7Ps,0.00030689752433032
MIRs,0.0006137950486606375
KDOs,0.0003068975243303188
LPSs,0.0020459834955354667
LPS_biomass,0.0020459834955354667
IMPs,0.01352494424530249
AMPs,0.006962274271764172
GMPs,0.006562669973538319
UMPs,0.009077495034865943
UTPs,0.00441930952438925
CTPs,0.00441930952438925
CMPs,0.00441930952438925
TMPs,0.001433359698296184
dAMPs,0.0030506799995822526
dGMPs,0.001755290753528482
dCMPs,0.001433359698296184
dTMPs,0.0014333596982961715
UMPk,0.0
G6PDH2r,0.127918505676913
PGL,0.127918505676913
GND,0.127918505676913
RPE,0.06722497525793185
RPI,-0.06038663289465085
TKT1,0.03599143269944875
TALA,0.03568453517511843
TKT2,0.03123354255848311
AMs,0.06181934189771294
PROT_biomass,0.06181934189771294
NADTRHD,0.0
THD2,0.0
NMPs,0.014929749130465329
NTPs,0.014929749130465329
RNA_biomass,0.014929749130465329
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,0.0
SINK_accoa_c,0.0
PDH,1.805241206792882
GLYCtex,0.0
D_LACtp,0.0
ACtp,0.0
BUTYtp,0.0
GLCtp,-0.9999999999999899
BTOHtp,0.8683728609547273
ACALDtp,0.0
ETOHtp,0.0
Pitp,-0.6343557496139222
H2Otp,1.5640635584608056
CO2tp,1.9113042647290441
NH4tp,-0.17611194837558666
O2tp,0.0
MET_REDtp,0.6476815959435653
MET_Oxtp,-0.6476815959435653
Htp,0.23401711134080516
FORtp,0.0
T_biomass_e,0.49419891196508864
GLCpts,0.9999999999999899
GLCt1,0.0
D_LACt2,0.0
ACt2r,0.0
ACALDt,0.0
ETOHt2r,0.0
PIt2r,0.6343557496139222
H2Ot,-1.5640635584608056
CO2t,-1.9113042647290441
BUTYt,0.0
NH4t,0.17611194837558666
O2t,0.0
GLYCtpp,0.0
BTOHt2rpp,-0.8683728609547273
FORti,0.0
FORt2,0.0
PDH2,0.0
