,fluxes
PPC,3.700743415417186e-17
PPCK,0.0
ME1,0.0
ME2,0.0
ADK1,0.0
ATPM,2.6666666666666674
ATPS4r,0.666666666666667
ACACT1r,-1.268826313857322e-16
HACD1i,1.268826313857322e-16
ECOAH1,-1.268826313857322e-16
ACOAD1,-1.268826313857322e-16
BTCOARx,0.0
ALCD4,0.0
HEX1,0.0
PGI,1.0
PFK,1.0
FBP,0.0
FBA,1.0
TPI,1.0
GAPD,2.0
PGK,-2.0
PGM,-2.0
ENO,2.0
PYK,1.0
PPS,0.0
EET,0.0
EMI,0.0
NADH16,3.700743415417186e-17
CYTBD,0.0
EX_glc__D_e,-1.0
EX_lac__D_e,0.0
EX_h_e,0.0
EX_ac_e,3.885780586188047e-16
EX_acald_e,0.0
EX_etoh_e,2.0
EX_pi_e,3.3306690738754706e-16
EX_h2o_e,-4.070817756958906e-16
EX_co2_e,2.0
EX_nh4_e,0.0
EX_o2_e,0.0
EX_elect__ox_e,0.0
EX_elect_red_e,0.0
EX_glyc_e,0.0
EX_btoh_e,0.0
LDH_D,0.0
PTAr,3.885780586188047e-16
ACKr,-3.885780586188047e-16
ACALD,-2.0
ALCD2x,-2.0
GLYCDx,0.0
DHAPT,0.0
GLYK,0.0
G3PT,0.0
G3PD2,0.0
CS,0.0
ACONTa,-3.700743415417186e-17
ACONTb,-3.700743415417186e-17
ICL,-6.344131569286608e-17
MALS,-6.344131569286608e-17
ICDHyr,6.344131569286608e-17
AKGDH,0.0
SUCOAS,-8.987519723156032e-17
SUCDi,0.0
FRD7,3.700743415417186e-17
FUM,-3.700743415417186e-17
MDH,-7.401486830834372e-17
G6PDH2r,0.0
PGL,0.0
GND,0.0
RPE,0.0
RPI,0.0
TKT1,0.0
TALA,0.0
TKT2,0.0
NADTRHD,0.0
THD2,0.0
PDH,2.0
GLCpts,1.0
GLCt1,0.0
D_LACt2,0.0
ACt2r,-3.885780586188047e-16
ACALDt,0.0
ETOHt2r,-2.0
PIt2r,-3.3306690738754706e-16
H2Ot,6.079792753899667e-16
CO2t,-2.0
NH4t,0.0
O2t,0.0
SINK_H_c,0.6666666666666679
GLYCtex,0.0
GLYCtpp,0.0
BTOHt2rpp,0.0
D_LACtp,0.0
ACtp,3.885780586188047e-16
GLCtp,-1.0
BTOHtp,0.0
ACALDtp,0.0
ETOHtp,2.0
Pitp,3.3306690738754706e-16
H2Otp,-4.070817756958906e-16
CO2tp,2.0
NH4tp,0.0
O2tp,0.0
MET_REDtp,0.0
MET_Oxtp,0.0
Htp,0.0
PFL,0.0
FORti,0.0
FORt2,0.0
FORtp,0.0
GLUDy,0.0
GLUSy,0.0
GLUN,0.0
GLNS,0.0
EX_for_e,0.0
