,fluxes
EX_glc__D_e,-1.0
GLCpts,0.9999999999999979
GLCt1,0.0
HEX1,2.907980734519141e-15
PGI,0.9999999999999976
PFK,0.9999999999999967
FBP,0.0
FBA,0.9999999999999967
TPI,0.9999999999999967
G6PDH2r,3.219646771412954e-15
PGL,3.219646771412954e-15
GND,0.0
RPE,0.0
RPI,0.0
TKT1,0.0
TALA,-4.996003610813204e-16
TKT2,-4.996003610813204e-16
GAPD,1.9999999999999987
PGK,-1.999999999999998
PGM,-1.999999999999998
ENO,1.999999999999998
PYK,1.0
PPS,0.0
LDH_D,-1.999999999999999
D_LACt2,-1.999999999999999
EX_lac__D_e,1.999999999999999
ADK1,0.0
ATPM,1.999999999999993
ATPS4r,-2.9605947323337466e-15
NADTRHD,2.0210993372731745e-16
THD2,-1.7763568394002499e-15
EX_h_e,2.0000000000000036
PDH,-8.810447962022139e-16
PTAr,3.55271367880047e-16
ACKr,-3.55271367880047e-16
ACt2r,0.0
EX_ac_e,0.0
ACALD,3.155443620884046e-31
ACALDt,0.0
EX_acald_e,0.0
ALCD2x,0.0
ETOHt2r,3.155443620884046e-31
EX_etoh_e,-3.155443620884046e-31
PIt2r,-3.056836007731422e-30
H2Ot,1.9243865760169213e-15
EX_pi_e,3.056836007731422e-30
EX_h2o_e,-2.4424906541753274e-15
CO2t,8.88178419700127e-16
EX_co2_e,-8.88178419700127e-16
NH4t,0.0
EX_nh4_e,0.0
CS,-2.2204460492502786e-16
ACONTa,-2.2204460492502786e-16
ACONTb,0.0
ICL,0.0
MALS,0.0
ICDHyr,0.0
AKGDH,0.0
SUCOAS,9.668192172777404e-16
SUCDi,-2.2204460492502741e-16
FRD7,0.0
FUM,-2.2204460492502741e-16
MDH,-7.308063619280705e-16
PPC,0.0
PPCK,0.0
ME1,-1.9784667731275682e-15
ME2,0.0
NADH16,-2.8555923058269762e-15
CYTBD,-1.5750363976015562e-16
O2t,0.0
EX_o2_e,0.0
SINK_H_c,0.0
EET,-1.3737159558028576e-15
EMI,3.5527136788004942e-15
EX_elect__ox_e,-3.5527136788004942e-15
EX_elect_red_e,2.6645352591003757e-15
