,fluxes
GLUDy,-3.7008704375568764e-17
GLUSy,0.0
GLUN,0.0
GLNS,6.682470241559207e-17
PROs,-3.6323163577011245e-18
ARGs,-4.872619504233216e-18
CARPs,-4.872619504233216e-18
LYSs,-5.66995724128956e-18
SERs,3.032853431611551e-17
GLYs,4.1052858257065046e-17
FTHFs,1.0248212535001446e-16
MYTHFs,-2.5691993749593323e-18
METHFs,-4.3107001009772974e-17
CYSs,-4.075281767176872e-18
ASPs,7.451504086019359e-17
ASNs,-3.986688685281721e-18
HOMs,-1.1517100646369419e-17
THRs,-8.947901271410087e-18
METs,-2.5691993749593323e-18
ILEUs,-4.784026422338066e-18
ALAs,-8.50493586193434e-18
AKIs,-1.4440672348909347e-17
VALs,-6.9988534697168e-18
LEUs,-7.441818879192548e-18
CHOs,-6.378701896450756e-18
PHENs,-3.1007578663302284e-18
TYRs,-2.303420129273884e-18
TRYPs,-9.745239008466431e-19
PRPPs,3.5662937026498504e-17
HISs,-1.5946754741126888e-18
PPC,1.4937771729862034e-16
PPCK,0.0
ME1,0.0
ME2,0.0
ADK1,1.5303654106924201e-16
ATPM,2.3333333333333357
ATPS4r,1.0177044392397267e-16
Biomass,-7.08234726158361e-16
ACACT1r,0.0
HACD1i,0.0
ECOAH1,0.0
ACOAD1,0.0
BTCOAp,2.1690620617511265e-16
BTCOARx,-2.1947540555007198e-16
ALCD4,2.1947540555007198e-16
CHs,-2.6842096121401883e-18
CH_biomass,-2.6842096121401883e-18
HEX1,0.0
PGI,1.0000000000000007
PFK,1.0000000000000004
FBP,0.0
FBA,1.0000000000000004
TPI,1.0000000000000004
GAPD,2.000000000000001
PGK,-2.000000000000001
PGM,-2.000000000000001
ENO,2.000000000000001
PYK,0.9999999999999999
PPS,0.0
dNMPs,-1.098472060271618e-17
dNTPs,-1.098472060271618e-17
DNA_biomass,-1.098472060271618e-17
EET,1.0000000000000002
EMI,-2.000000000000001
NADH16,-2.311115933264683e-33
CYTBD,0.0
EX_glc__D_e,-1.0
EX_lac__D_e,0.0
EX_h_e,0.0
EX_ac_e,0.3333333333333341
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,2.677708854283505e-16
EX_h2o_e,0.0
EX_co2_e,0.33333333333333226
EX_nh4_e,-1.007326489248306e-16
EX_o2_e,0.0
EX_elect__ox_e,2.000000000000001
EX_elect_red_e,-2.000000000000001
EX_buty_e,2.1690620617511265e-16
EX_glyc_e,0.0
EX_btoh_e,0.0
EX_for_e,0.0
EX_biomass_e,0.0
LDH_D,0.0
PTAr,0.33333333333333415
ACKr,-0.3333333333333341
ACALD,0.0
ALCD2x,0.0
PFL,0.0
GLYCDx,5.482990854502075e-16
DHAPT,4.3727678298769187e-16
GLYK,3.4497611048979273e-18
G3PT,0.0
G3PD2,-5.474724946373383e-16
CS,1.0585989736368943e-18
ACONTa,1.0585989736368943e-18
ACONTb,1.0585989736368943e-18
ICL,0.0
MALS,0.0
ICDHyr,1.0585989736368943e-18
AKGDH,0.0
SUCOAS,-2.5691993749593347e-18
SUCDi,0.0
FRD7,-2.311115933264683e-33
FUM,-8.715303683496709e-17
MDH,-7.380407746478988e-17
PALs,-5.195269998429181e-18
OLEs,-1.6406115784513202e-18
MALCOAs,-5.476954779594693e-17
OAs,-6.835881576880501e-18
ETNs,-2.130794997120045e-18
LIPs,-8.994581022211185e-18
LIP_biomass,-8.994581022211185e-18
GLUN6Ps,-2.9320917662956144e-19
RHAs,-1.4660458831478072e-19
dTDPdp,-1.4660458831478072e-19
dTTPs,-1.4660458831478072e-19
H7Ps,-4.398137649443421e-19
MIRs,-8.796275298886842e-19
KDOs,-4.398137649443421e-19
LPSs,-2.9320917662956143e-18
LPS_biomass,-2.9320917662956143e-18
IMPs,5.124106267500723e-17
AMPs,6.064600197990183e-17
GMPs,-9.404939304894599e-18
UMPs,-1.3008926273549392e-17
UTPs,-6.3332969681567436e-18
CTPs,-6.3332969681567436e-18
CMPs,-6.3332969681567436e-18
TMPs,-2.0541427527079257e-18
dAMPs,-4.37191879988104e-18
dGMPs,-2.515501018022005e-18
dCMPs,-2.0541427527079257e-18
dTMPs,-2.0541427527079257e-18
UMPk,0.0
G6PDH2r,-2.2195755539526695e-16
PGL,0.0
GND,-2.2195755539526695e-16
RPE,-6.484450615265299e-17
RPI,1.566732354776696e-16
TKT1,-3.1101721569195094e-17
TALA,-1.2706751799975337e-18
TKT2,-7.041777539836831e-17
AMs,-8.859308189514937e-17
PROT_biomass,-8.859308189514937e-17
NADTRHD,0.0
THD2,0.0
NMPs,-2.1395771077244084e-17
NTPs,-2.1395771077244084e-17
RNA_biomass,-2.1395771077244084e-17
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,-0.33333333333333653
SINK_accoa_c,0.0
PDH,0.33333333333333276
GLYCtex,0.0
D_LACtp,0.0
ACtp,0.3333333333333341
BUTYtp,2.1690620617511265e-16
GLCtp,-1.0000000000000007
BTOHtp,-2.1947540555007198e-16
ACALDtp,0.0
ETOHtp,0.0
Pitp,2.677708854283505e-16
H2Otp,0.0
CO2tp,0.33333333333333226
NH4tp,-1.007326489248306e-16
O2tp,0.0
MET_REDtp,-2.000000000000001
MET_Oxtp,2.000000000000001
Htp,-3.05311331771918e-16
FORtp,0.0
T_biomass_e,0.0
GLCpts,1.0000000000000007
GLCt1,0.0
D_LACt2,0.0
ACt2r,-0.3333333333333341
ACALDt,0.0
ETOHt2r,0.0
PIt2r,-2.677708854283505e-16
H2Ot,0.0
CO2t,-0.33333333333333226
BUTYt,2.1690620617511265e-16
NH4t,1.007326489248306e-16
O2t,0.0
GLYCtpp,0.0
BTOHt2rpp,2.1947540555007198e-16
FORti,0.0
FORt2,0.0
PDH2,0.0
CF,0.0
PROPs,1.6666666666666674
PROPt,1.6666666666666674
PROPte,1.6666666666666674
EX_prop_c,1.6666666666666674
