,fluxes
GLUDy,5.017437652448768e-17
GLUSy,3.683035439239813e-18
GLUN,0.0
GLNS,0.0
PROs,-9.52727929416881e-19
ARGs,0.0
CARPs,0.0
LYSs,0.0
SERs,-2.8951086377834435e-18
GLYs,-3.1868251297568155e-19
FTHFs,0.0
MYTHFs,-9.76662360008596e-17
METHFs,7.352773622365421e-17
CYSs,1.3962259927643343e-18
ASPs,-7.578544603738888e-18
ASNs,0.0
HOMs,-6.532867608037433e-18
THRs,-2.3469639236854856e-18
METs,-4.185903684351947e-18
ILEUs,-1.2548123948417455e-18
ALAs,-2.23077759082977e-18
AKIs,-1.8357440591203315e-18
VALs,-1.8357440591203315e-18
LEUs,0.0
CHOs,4.817685348605891e-18
PHENs,0.0
TYRs,0.0
TRYPs,0.0
PRPPs,0.0
HISs,0.0
PPC,0.0
PPCK,0.0
ME1,0.0
ME2,0.0
ADK1,1.1467198161190902e-18
ATPM,0.44
ATPS4r,0.0
Biomass,-1.8576438221395342e-16
ACACT1r,0.3201937500000001
HACD1i,-0.3201937500000001
ECOAH1,0.3201937500000001
ACOAD1,0.32019375000000017
BTCOAp,0.26719375
BTCOARx,0.05300000000000002
ALCD4,-0.05300000000000002
CHs,-7.040470085908835e-19
CH_biomass,-7.040470085908835e-19
HEX1,0.0
PGI,0.32000000000000006
PFK,0.32
FBP,0.0
FBA,0.32000000000000006
TPI,0.32000000000000006
GAPD,0.6400000000000001
PGK,-0.6400000000000001
PGM,-0.6403875
ENO,0.6403875
PYK,0.3203875
PPS,0.0
dNMPs,-2.8812055681384174e-18
dNTPs,-2.8812055681384174e-18
DNA_biomass,-2.8812055681384174e-18
EET,0.10754999999999997
EMI,-0.21509999999999993
NADH16,3.3306690738754696e-16
CYTBD,-9.394194823751324e-17
EX_glc__D_e,-0.32
EX_lac__D_e,0.0
EX_h_e,0.05209375000000003
EX_ac_e,0.0
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,0.00038749999999886564
EX_h2o_e,0.052999999999999624
EX_co2_e,0.6392250000000003
EX_nh4_e,4.473366044529399e-17
EX_o2_e,0.0
EX_elect__ox_e,0.21509999999999993
EX_elect_red_e,-0.2151
EX_buty_e,0.26719375
EX_glyc_e,0.0
EX_btoh_e,0.053
EX_for_e,0.0
EX_biomass_e,-1.8576438221395342e-16
LDH_D,0.0
PTAr,-1.3962259927643343e-18
ACKr,1.3962259927643343e-18
ACALD,0.0
ALCD2x,0.0
PFL,0.0
GLYCDx,0.0
DHAPT,0.0
GLYK,0.46758124999999995
G3PT,0.46758124999999995
G3PD2,7.360727880845691e-19
CS,-1.6666186483094135e-16
ACONTa,-1.666618648309413e-16
ACONTb,-1.1469417541994577e-16
ICL,-1.1136932837136678e-16
MALS,-1.308474670461431e-16
ICDHyr,-1.7899055414358726e-16
AKGDH,0.0
SUCOAS,-5.973482578146184e-17
SUCDi,0.0
FRD7,3.9880919434748326e-17
FUM,-3.9880919434748326e-17
MDH,-1.7072838648089144e-16
PALs,-1.3626783410180998e-18
OLEs,-4.3031947611097884e-19
MALCOAs,-8.2840090744746e-17
OAs,-1.7929978171290786e-18
ETNs,-8.186217386331888e-19
LIPs,-2.3592076541172085e-18
LIP_biomass,-2.3592076541172085e-18
GLUN6Ps,2.7685289525626017e-17
RHAs,-4.487044763731212e-16
dTDPdp,1.9456335287403284e-17
dTTPs,-4.487044763731212e-16
H7Ps,-3.750906996591537e-19
MIRs,-7.501813993183074e-19
KDOs,-3.750906996591537e-19
LPSs,-7.690645423657681e-19
LPS_biomass,-2.500604664394358e-18
IMPs,0.0
AMPs,0.0
GMPs,0.0
UMPs,0.0
UTPs,-7.08554505679727e-17
CTPs,-1.2990586123913125e-16
CMPs,-1.2990586123913125e-16
TMPs,7.08554505679727e-17
dAMPs,-1.1467198161190902e-18
dGMPs,-6.5979607510369765e-19
dCMPs,-1.2990586123913125e-16
dTMPs,-4.686995971017664e-16
UMPk,0.0
G6PDH2r,-7.496748651866111e-17
PGL,-7.496748651866111e-17
GND,-7.496748651866111e-17
RPE,-4.778511651798491e-17
RPI,2.6807279301017045e-17
TKT1,-2.6807279301017045e-17
TALA,-2.300817635702592e-17
TKT2,-2.782586170563181e-17
AMs,-2.3237266571143437e-17
PROT_biomass,-2.3237266571143437e-17
NADTRHD,0.0
THD2,0.0
NMPs,0.0
NTPs,0.0
RNA_biomass,0.0
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,0.0
SINK_accoa_c,0.0
PDH,0.0
GLYCtex,0.0
D_LACtp,0.0
ACtp,0.0
BUTYtp,0.26719375
GLCtp,-0.32
BTOHtp,0.053
ACALDtp,0.0
ETOHtp,0.0
Pitp,0.00038749999999886564
H2Otp,0.052999999999999624
CO2tp,0.6403874999999997
NH4tp,4.473366044529399e-17
O2tp,0.0
MET_REDtp,-0.21509999999999993
MET_Oxtp,0.21509999999999993
Htp,0.0
FORtp,0.0
T_biomass_e,-1.8576438221395342e-16
GLCpts,0.32
GLCt1,0.0
D_LACt2,0.0
ACt2r,0.0
ACALDt,0.0
ETOHt2r,0.0
PIt2r,-0.00038749999999886564
H2Ot,-0.052999999999999624
CO2t,-0.6403874999999997
BUTYt,0.26719375
NH4t,-4.473366044529399e-17
O2t,0.0
GLYCtpp,0.0
BTOHt2rpp,-0.053
FORti,0.0
FORt2,0.0
PDH2,0.6403875
CF,0.000387499999999794
PROPs,0.0
PROPt,0.0
PROPte,0.0
EX_prop_c,0.0
