,fluxes
GLUDy,-0.09259016589706336
GLUSy,0.0
GLUN,0.0
GLNS,0.09459460853045272
PROs,0.000320423199999837
ARGs,0.00042983599999977986
CARPs,0.0004298359999997813
LYSs,0.0005001727999997439
SERs,0.02795825200730324
GLYs,0.027012220807303627
FTHFs,0.052226945614608174
MYTHFs,0.00022664079999988395
METHFs,-0.026831055207304097
CYSs,0.00035949919999981586
ASPs,0.05862202508977141
ASNs,0.00035168399999982106
HOMs,0.0010159759999994796
THRs,0.0007893351999995958
METs,0.00022664079999988395
ILEUs,0.00042202079999978387
ALAs,0.0007502591999996183
AKIs,0.0012738775999394548
VALs,0.0006174007999996859
LEUs,0.0006564767999996639
CHOs,0.0005626943999997136
PHENs,0.0002735319999998599
TYRs,0.00020319519999989594
TRYPs,8.596719999995773e-05
PRPPs,0.044871127420727804
HISs,0.00014067359999992842
PPC,0.022266679413423203
PPCK,0.0
ME1,0.0
ME2,0.0
ADK1,1.3383391617161067e-14
ATPM,0.0
ATPS4r,-1.6841934439528364e-16
Biomass,0.08
ACACT1r,5.4150802765440265e-14
HACD1i,0.0
ECOAH1,0.0
ACOAD1,0.0
BTCOAp,0.0
BTCOARx,0.0
ALCD4,0.0
CHs,0.0002368
CH_biomass,0.0002368
HEX1,0.0
PGI,0.44672443999999717
PFK,0.4165194302528482
FBP,0.0
FBA,0.4165194302528482
TPI,0.4162718270528482
GAPD,0.8175450524321209
PGK,-0.8175450524321209
PGM,-0.7895868004248177
ENO,0.7895868004248177
PYK,0.319403575411395
PPS,0.0
dNMPs,0.0009687999999999999
dNTPs,0.0009687999999999999
DNA_biomass,0.0009687999999999999
EET,1.641141243212681
EMI,-3.282282486425362
NADH16,0.0
CYTBD,0.0
EX_glc__D_e,-0.447
EX_lac__D_e,0.0
EX_h_e,-2.2048241799978383
EX_ac_e,0.0
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,-0.5582165882196315
EX_h2o_e,0.2463
EX_co2_e,-0.4680789408738504
EX_nh4_e,-0.1874583064274103
EX_o2_e,0.0
EX_elect__ox_e,3.282282486425362
EX_elect_red_e,-3.282282486425362
EX_buty_e,0.0
EX_glyc_e,0.0
EX_btoh_e,0.0
EX_for_e,0.0
EX_biomass_e,0.08
LDH_D,0.0
PTAr,-0.0007893352000008441
ACKr,0.0007893352000008441
ACALD,0.0
ALCD2x,0.0
PFL,0.0
GLYCDx,-0.0002476032
DHAPT,-0.0002476032
GLYK,0.0
G3PT,0.0
G3PD2,0.0
CS,0.002016321599998766
ACONTa,0.002016321599998766
ACONTb,0.002016321599998766
ICL,0.0
MALS,-1.5616848092481206e-15
ICDHyr,0.002016321599998766
AKGDH,0.0
SUCOAS,0.00022664079999988395
SUCDi,0.0
FRD7,0.0
FUM,0.038371667276348526
MDH,0.03837166727633599
PALs,0.00045838336
OLEs,0.00014475264
MALCOAs,0.00483182463999948
OAs,0.000603136
ETNs,0.00018795679999999998
LIPs,0.0007936
LIP_biomass,0.0007936
GLUN6Ps,2.584e-05
RHAs,1.292e-05
dTDPdp,1.292e-05
dTTPs,1.292e-05
H7Ps,3.8759999999999995e-05
MIRs,7.752000000486762e-05
KDOs,3.8759999999999995e-05
LPSs,0.0002584
LPS_biomass,0.0002584
IMPs,0.026113472807304087
AMPs,0.011828358469044661
GMPs,0.01428511433827508
UMPs,0.018531013813423754
UTPs,0.008916109164146013
CTPs,0.008916109164146013
CMPs,0.008916109164146013
TMPs,0.0001811656
dAMPs,0.0003855824
dGMPs,0.00022185519999999998
dCMPs,0.0001811656
dTMPs,0.0001811656
UMPk,0.0
G6PDH2r,5.257036816530554e-16
PGL,0.0
GND,0.0
RPE,-0.030140409747151115
RPI,-0.03010164974715184
TKT1,-0.014769477673575886
TALA,-0.014808237673575794
TKT2,-0.01537093207357552
AMs,0.007815199999995998
PROT_biomass,0.007815199999995998
NADTRHD,0.0
THD2,0.0
NMPs,0.04367471782073006
NTPs,0.04367471782073006
RNA_biomass,0.04367471782073006
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,1.4671923010721315
PDH,-0.12725145498861185
GLYCtex,0.0
D_LACtp,0.0
ACtp,0.0
BUTYtp,0.0
GLCtp,-0.447
BTOHtp,0.0
ACALDtp,0.0
ETOHtp,0.0
Pitp,-0.5582165882196315
H2Otp,0.24629999999998528
CO2tp,-0.4680789408738635
NH4tp,-0.1874583064275313
O2tp,0.0
MET_REDtp,-3.2822824864253626
MET_Oxtp,3.282282486425362
Htp,5.052580331858509e-16
FORtp,0.0
T_biomass_e,0.08
GLCpts,0.447
GLCt1,0.0
D_LACt2,0.0
ACt2r,1.2483503813998098e-15
ACALDt,0.0
ETOHt2r,0.0
PIt2r,0.5582165882196315
H2Ot,-0.24629999999998528
CO2t,0.4680789408738504
BUTYt,0.0
NH4t,0.1874583064274103
O2t,0.0
GLYCtpp,0.0
BTOHt2rpp,0.0
FORti,0.0
FORt2,0.0
PDH2,0.0
CF,0.13593690682861317
PROPs,0.8900000000001285
PROPt,0.8900000000001285
PROPte,0.8900000000001285
EX_prop_c,0.89
IPAp,1.734723475976807e-18
IAAldp,1.734723475976807e-18
IAAs,1.734723475976807e-18
IAAt,1.734723475976807e-18
IAAte,1.734723475976807e-18
EX_iaa_c,0.0
ATP_hypothethic,0.0
NADH_hypo,0.0
NADH_NADP_hypo,0.5895589047325078
EET_hypo,0.0
