,fluxes
GLUDy,1.6653345369377346e-16
GLUSy,0.0
GLUN,0.0
GLNS,0.0
PROs,0.0
ARGs,0.0
CARPs,0.0
LYSs,0.0
SERs,0.0
GLYs,0.0
FTHFs,0.0
MYTHFs,0.0
METHFs,0.0
CYSs,0.0
ASPs,2.2639503019735668e-32
ASNs,0.0
HOMs,0.0
THRs,0.0
METs,0.0
ILEUs,0.0
ALAs,0.0
AKIs,-1.6653345369377338e-16
VALs,-1.6653345369377338e-16
LEUs,0.0
CHOs,0.0
PHENs,0.0
TYRs,0.0
TRYPs,0.0
PRPPs,0.0
HISs,0.0
PPC,0.0
PPCK,0.0
ME1,0.0
ME2,3.6977854932234906e-32
ADK1,2.2639503019735668e-32
ATPM,2.0
ATPS4r,-4.1086505480261033e-32
Biomass,0.0
ACACT1r,0.0
HACD1i,0.0
ECOAH1,0.0
ACOAD1,0.0
BTCOAp,0.0
BTCOARx,0.0
ALCD4,0.0
CHs,0.0
CH_biomass,0.0
HEX1,0.0
PGI,1.0
PFK,1.0
FBP,0.0
FBA,1.0
TPI,1.0
GAPD,2.0
PGK,-2.0
PGM,-2.0
ENO,2.0
PYK,1.0
PPS,0.0
dNMPs,0.0
dNTPs,0.0
DNA_biomass,0.0
EET,2.0
EMI,-4.0
NADH16,-4.1086505480261033e-32
CYTBD,0.0
EX_glc__D_e,-1.0
EX_lac__D_e,0.0
EX_h_e,-1.9999999999999996
EX_ac_e,1.9242086556604273e-16
EX_acald_e,0.0
EX_etoh_e,0.0
EX_pi_e,-2.2204460492503136e-16
EX_h2o_e,0.0
EX_co2_e,0.0
EX_nh4_e,1.6653345369377346e-16
EX_o2_e,0.0
EX_elect__ox_e,4.0
EX_elect_red_e,-4.0
EX_buty_e,0.0
EX_glyc_e,0.0
EX_btoh_e,0.0
EX_for_e,0.0
EX_biomass_e,0.0
LDH_D,0.0
PTAr,1.9242086556604273e-16
ACKr,-1.9242086556604273e-16
ACALD,0.0
ALCD2x,0.0
PFL,0.0
GLYCDx,0.0
DHAPT,0.0
GLYK,0.0
G3PT,0.0
G3PD2,0.0
CS,0.0
ACONTa,0.0
ACONTb,0.0
ICL,0.0
MALS,-4.108650548026127e-33
ICDHyr,0.0
AKGDH,4.1086505480261033e-32
SUCOAS,-4.1086505480261033e-32
SUCDi,0.0
FRD7,-4.1086505480261033e-32
FUM,6.372600849999671e-32
MDH,2.2639503019735668e-32
PALs,0.0
OLEs,1.0408340855860833e-17
MALCOAs,-1.9215398503127826e-17
OAs,0.0
ETNs,0.0
LIPs,0.0
LIP_biomass,0.0
GLUN6Ps,0.0
RHAs,0.0
dTDPdp,0.0
dTTPs,0.0
H7Ps,0.0
MIRs,-1.7080354225002415e-17
KDOs,0.0
LPSs,0.0
LPS_biomass,0.0
IMPs,0.0
AMPs,2.2639503019735668e-32
GMPs,0.0
UMPs,0.0
UTPs,0.0
CTPs,0.0
CMPs,0.0
TMPs,0.0
dAMPs,0.0
dGMPs,0.0
dCMPs,0.0
dTMPs,0.0
UMPk,0.0
G6PDH2r,0.0
PGL,0.0
GND,0.0
RPE,0.0
RPI,0.0
TKT1,0.0
TALA,0.0
TKT2,0.0
AMs,0.0
PROT_biomass,0.0
NADTRHD,0.0
THD2,0.0
NMPs,0.0
NTPs,0.0
RNA_biomass,0.0
SINK_H_c,0.0
SINK_Pi_c,0.0
SINK_H2O_c,2.0000000000000004
PDH,2.2204460492503116e-16
GLYCtex,0.0
D_LACtp,0.0
ACtp,1.9242086556604273e-16
BUTYtp,0.0
GLCtp,-1.0
BTOHtp,0.0
ACALDtp,0.0
ETOHtp,0.0
Pitp,-2.2204460492503136e-16
H2Otp,0.0
CO2tp,0.0
NH4tp,1.6653345369377346e-16
O2tp,0.0
MET_REDtp,-4.0
MET_Oxtp,4.0
Htp,0.0
FORtp,0.0
T_biomass_e,0.0
GLCpts,1.0
GLCt1,0.0
D_LACt2,0.0
ACt2r,-1.9242086556604273e-16
ACALDt,0.0
ETOHt2r,0.0
PIt2r,2.2204460492503136e-16
H2Ot,0.0
CO2t,0.0
BUTYt,0.0
NH4t,-1.6653345369377346e-16
O2t,0.0
GLYCtpp,0.0
BTOHt2rpp,0.0
FORti,0.0
FORt2,0.0
PDH2,0.0
CF,0.0
PROPs,2.0000000000000004
PROPt,2.0000000000000004
PROPte,2.0000000000000004
EX_prop_c,2.0000000000000004
IPAp,0.0
IAAldp,0.0
IAAs,0.0
IAAt,0.0
IAAte,0.0
EX_iaa_c,0.0
ATP_hypothethic,0.0
NADH_hypo,0.0
NADH_NADP_hypo,0.0
EET_hypo,0.0
