,fluxes
EX_glc__D_e,-1.0
GLCpts,0.999999999999972
GLCt1,0.0
HEX1,-2.1316282072803006e-14
PGI,0.9999999999999498
PFK,0.9999999999999742
FBP,0.0
FBA,0.9999999999999751
TPI,0.9999999999999751
G6PDH2r,8.881784197001252e-16
PGL,8.881784197001252e-16
GND,0.0
RPE,0.0
RPI,0.0
TKT1,0.0
TALA,1.2212453270876722e-14
TKT2,1.2212453270876722e-14
GAPD,1.9999999999999507
PGK,-1.9999999999999343
PGM,-1.9999999999999343
ENO,1.9999999999999343
PYK,0.9999999999999623
PPS,0.0
LDH_D,-5.995204332975772e-15
D_LACt2,4.496403249731799e-15
EX_lac__D_e,0.0
ADK1,0.0
ATPM,21.999999999999517
ATPS4r,17.999999999999627
NADTRHD,-6.999999999999838
THD2,-8.999999999999806
EX_h_e,17.999999999999588
PDH,1.999999999999953
PTAr,-1.7763568394002493e-15
ACKr,1.7763568394002493e-15
ACt2r,0.0
EX_ac_e,0.0
ACALD,0.0
ACALDt,0.0
EX_acald_e,0.0
ALCD2x,-3.996802888650557e-15
ETOHt2r,0.0
EX_etoh_e,0.0
PIt2r,1.8485213360008484e-14
H2Ot,-5.999999999999886
EX_pi_e,-1.8485213360008484e-14
EX_h2o_e,5.999999999999886
CO2t,-5.999999999999896
EX_co2_e,5.999999999999896
NH4t,0.0
EX_nh4_e,0.0
CS,1.9999999999999585
ACONTa,1.9999999999999585
ACONTb,1.9999999999999585
ICL,0.0
MALS,0.0
ICDHyr,1.9999999999999585
AKGDH,1.9999999999999585
SUCOAS,-1.9999999999999634
SUCDi,1.9999999999999538
FRD7,0.0
FUM,1.9999999999999538
MDH,1.9999999999999547
PPC,0.0
PPCK,0.0
ME1,0.0
ME2,1.0658141036401508e-14
NADH16,9.999999999999792
CYTBD,11.99999999999975
O2t,5.999999999999875
EX_o2_e,-5.999999999999875
SINK_H_c,0.0
ETT,0.0
EMI,0.0
EX_elect__ox_e,0.0
EX_elect_red_e,0.0
