sp|Q74EE6|Y1016_GEOSL	K07085
sp|Q74CC6|Y1748_GEOSL	K03215
sp|P61701|SYA_GEOSL	K01872
sp|Q746Q2|YIDC_GEOSL	K03217
sp|Q747R1|Y3204_GEOSL	K09767
sp|Q74A44|TRMFO_GEOSL	K04094
sp|Q74EU2|UBIE_GEOSL	K03183
sp|P60938|UPPP_GEOSL	K06153
sp|Q748Y8|EFG2_GEOSL	K02355
sp|P61343|GATB_GEOSL	K02434
sp|Q74FF1|CLPB_GEOSL	K03695
sp|Q74GB3|ATPL_GEOSL	K02110
sp|Q74DS2|COAD_GEOSL	K00954
sp|Q74FU2|COAE_GEOSL	K00859
sp|Q74C82|CLPP_GEOSL	K01358
sp|Q74E20|CHED2_GEOSL	K03411
sp|Q748F5|FLGI_GEOSL	K02394
sp|Q74D03|IF3_GEOSL	K02520
sp|Q74G02|PDRP_GEOSL	K09773
sp|Q749A0|RS14Z_GEOSL	K02954
sp|Q748Y7|RS7_GEOSL	K02992
sp|Q74BW1|RS2_GEOSL	K02967
sp|Q74FM7|SYGB_GEOSL	K01879
sp|Q74E25|SYY_GEOSL	K01866
sp|Q747N0|RL27_GEOSL	K02899
sp|Q74FE7|RL25_GEOSL	K02897
sp|P60915|SYH_GEOSL	K01892
sp|P60454|RL3_GEOSL	K02906
sp|Q74DU6|SYE_GEOSL	K01885
sp|Q74DN5|Y1281_GEOSL	K02006
sp|P61469|YIDD_GEOSL	K08998
sp|Q74C63|SYR_GEOSL	K01887
sp|Q74BH0|RNH_GEOSL	K03469
sp|Q74AZ3|RS20_GEOSL	K02968
sp|Q748Z8|RL14_GEOSL	K02874
sp|Q748Y4|RL10_GEOSL	K02864
sp|Q749B3|RPOA_GEOSL	K03040
sp|Q747M9|RL21_GEOSL	K02888
sp|P61063|RL4_GEOSL	K02926
sp|Q748X4|RL13_GEOSL	K02871
sp|Q748Y3|RL1_GEOSL	K02863
sp|Q74AH4|TRPD_GEOSL	K00766
sp|P62434|RL11_GEOSL	K02867
sp|Q74D02|RL35_GEOSL	K02916
sp|Q74C79|RNPH_GEOSL	K00989
sp|Q74FK1|SELD_GEOSL	K01008
sp|Q74E68|PSTB_GEOSL	K02036
sp|Q749A5|RL30_GEOSL	K02907
sp|Q74GZ7|RECR_GEOSL	K06187
sp|P61664|SFSA_GEOSL	K06206
sp|Q74G05|PRMA_GEOSL	K02687
sp|Q74D58|PYRF_GEOSL	K01591
sp|Q748Z3|RL22_GEOSL	K02890
sp|Q748Z4|RS3_GEOSL	K02982
sp|Q749A1|RS8_GEOSL	K02994
sp|P61617|SAHH_GEOSL	K01251
sp|Q74FW9|QUEC_GEOSL	K06920
sp|Q74H90|RECF_GEOSL	K03629
sp|Q748C9|MRAZ_GEOSL	K03925
sp|Q74H60|GRPE_GEOSL	K03687
sp|P60970|LGT_GEOSL	K13292
sp|Q748Z7|RS17_GEOSL	K02961
sp|P62215|RECA_GEOSL	K03553
sp|Q748Y5|RL7_GEOSL	K02935
sp|Q74E27|RNY_GEOSL	K18682
sp|P60396|RSMH_GEOSL	K03438
sp|Q749B4|RL17_GEOSL	K02879
sp|Q747Q7|RLMH_GEOSL	K00783
sp|Q74E53|RLMN_GEOSL	K06941
sp|Q74A86|OMCS_GEOSL
sp|Q747Q2|OBG_GEOSL	K03979
sp|Q74GV6|RF3_GEOSL	K02837
sp|Q748Z6|RL29_GEOSL	K02904
sp|Q3V8C9|PDXJ_GEOSL	K03474
sp|Q747Q3|PROB_GEOSL	K00931
sp|Q748Z0|RS10_GEOSL	K02946
sp|P62230|RS16_GEOSL	K02959
sp|Q74FE4|RS6_GEOSL	K02990
sp|P61532|RUVB_GEOSL	K03551
sp|Q74CT6|RIMP_GEOSL	K09748
sp|Q748Z9|RL5_GEOSL	K02931
sp|Q74BF0|PUR7_GEOSL	K01923
sp|P61723|RISB_GEOSL	K00794
sp|Q748B3|MURA_GEOSL	K00790
sp|Q749B1|RS11_GEOSL	K02948
sp|Q74GW7|TTCA_GEOSL	K14058
sp|Q749F2|Y2791_GEOSL
sp|Q74AR8|YBEY_GEOSL	K07042
sp|Q74CT3|IF2_GEOSL	K02519
sp|Q74DI8|PPNP_GEOSL	K09913
sp|Q74CB9|PYRDB_GEOSL	K17828
sp|Q746Q3|MNME_GEOSL	K03650
sp|Q748D6|MURG_GEOSL	K02563
sp|Q74GA5|NUOD_GEOSL	K00333
sp|Q74CZ5|PIMT_GEOSL	K00573
sp|P60926|PLSY_GEOSL	K08591
sp|Q74DP4|PYRC_GEOSL	K01465
sp|Q74BX5|LEUC_GEOSL	K01703
sp|Q74CS9|PNP_GEOSL	K00962
sp|Q748B2|PRMC_GEOSL	K02493
sp|Q74DP5|PYRB_GEOSL	K00609
sp|Q74AH7|TRPF_GEOSL	K01817
sp|Q74EQ6|RS211_GEOSL	K02970
sp|Q749B2|RS4_GEOSL	K02986
sp|Q747A2|SYC_GEOSL	K01883
sp|Q74C11|TSAD_GEOSL	K01409
sp|Q74BP1|MIAA_GEOSL	K00791
sp|Q748M1|NIKR_GEOSL	K07722
sp|Q747F9|PURA_GEOSL	K01939
sp|Q748B1|RF1_GEOSL	K02835
sp|Q748B4|RS212_GEOSL	K02970
sp|Q74BY3|PYRG_GEOSL	K01937
sp|Q74H55|SYS_GEOSL	K01875
sp|Q74BZ3|Y1884_GEOSL	K06958
sp|Q74BF6|HLDE_GEOSL	K03272
sp|Q74BJ1|SECA_GEOSL	K03070
sp|Q748M4|TAL_GEOSL	K00616
sp|P61609|LEXA2_GEOSL	K01356
sp|Q74CZ6|SURE_GEOSL	K03787
sp|Q74EA5|SUCC_GEOSL	K01903
sp|Q74FD5|HCP_GEOSL	K05601
sp|Q747K6|IMCH_GEOSL
sp|Q74A46|NTPPA_GEOSL	K06287
sp|Q74CI1|NUSB_GEOSL	K03625
sp|Q74FE6|PTH_GEOSL	K01056
sp|Q74H61|HRCA_GEOSL	K03705
sp|Q746Z9|ISPD_GEOSL	K00991
sp|Q74D53|MDH_GEOSL	K00024
sp|Q746S4|NUBCD_GEOSL	K13380
sp|Q747I2|HEM1_GEOSL	K02492
sp|P61185|HTPG_GEOSL	K04079
sp|Q74D60|ISPG_GEOSL	K03526
sp|Q747W9|MOAA_GEOSL	K03639
sp|Q74FJ9|PUR9_GEOSL	K00602
sp|Q747Q5|NADD_GEOSL	K00969
sp|Q746Y3|PCKG_GEOSL	K01596
sp|Q747I1|HEM3_GEOSL	K01749
sp|P60804|HIS11_GEOSL	K00765
sp|P61196|LIPA_GEOSL	K03644
sp|P60837|HISZ_GEOSL	K02502
sp|Q74H71|NADA_GEOSL	K03517
sp|Q749E9|MSCL_GEOSL	K03282
sp|Q74AA8|KDPC_GEOSL	K01548
sp|Q74AT5|LPXD_GEOSL	K02536
sp|Q74GA8|NUOA1_GEOSL	K00330
sp|Q74GA7|NUOB_GEOSL	K00331
sp|Q74BH6|NADK_GEOSL	K00858
sp|Q74GA1|NUOH1_GEOSL	K00337
sp|Q74CS2|PLSX_GEOSL	K03621
sp|Q74FM9|RECO_GEOSL	K03584
sp|Q74AI3|TRPA_GEOSL	K01695
sp|Q74C12|RSMA_GEOSL	K02528
sp|Q74H67|TOLB_GEOSL	K03641
sp|Q74AZ0|SYL_GEOSL	K01869
sp|Q749B0|RS13_GEOSL	K02952
sp|Q746Q5|RSMG_GEOSL	K03501
sp|P60401|RL2_GEOSL	K02886
sp|Q74AX1|RNC_GEOSL	K03685
sp|Q74FF9|Y650_GEOSL	K07460
sp|Q747X9|SYI_GEOSL	K01870
sp|Q748A8|RL31_GEOSL	K02909
sp|Q74CZ9|SYFB_GEOSL	K01890
sp|P60347|TRUD_GEOSL	K06176
sp|Q748Z2|RS19_GEOSL	K02965
sp|Q74E08|SYN_GEOSL	K01893
sp|Q74D59|SYP_GEOSL	K01881
sp|Q74EB5|Y1048_GEOSL	K09858
sp|P62036|Y1074_GEOSL
sp|Q74C65|TILS_GEOSL	K04075
sp|Q74GS4|Y171_GEOSL	K09768
sp|Q74DU7|YACG_GEOSL	K09862
sp|Q74GV3|Y141_GEOSL	K09121
sp|Q74GL3|Y233_GEOSL	K09915
sp|Q74FG3|TRMD_GEOSL	K00554
sp|Q74CZ2|Y1527_GEOSL
sp|Q74D56|SYDND_GEOSL	K01876
sp|Q74BJ6|SYV_GEOSL	K01873
sp|Q747I7|UVRC_GEOSL	K03703
sp|Q748A9|THYX_GEOSL	K03465
sp|Q748K0|Y3001_GEOSL	K02006
sp|P60350|TRUA_GEOSL	K06173
sp|Q74EM9|UPP_GEOSL	K00761
sp|Q74FT5|TRMB_GEOSL	K03439
sp|P60344|TRUB_GEOSL	K03177
sp|Q74CG8|PANB_GEOSL	K00606
sp|Q74CG7|PANC_GEOSL	K01918
sp|Q74FG4|RIMM_GEOSL	K02860
sp|P61946|METK_GEOSL	K00789
sp|Q74CT2|RBFA_GEOSL	K02834
sp|Q74CB6|PUR5_GEOSL	K01933
sp|Q74BW2|PYRH_GEOSL	K09903
sp|Q74CT0|RS15_GEOSL	K02956
sp|Q748D3|MRAY_GEOSL	K01000
sp|Q74FE3|RS18_GEOSL	K02963
sp|Q74DP6|PYRR_GEOSL	K02825
sp|Q748Y6|RPOB_GEOSL	K03043
sp|Q74AW2|RPOZ_GEOSL	K03060
sp|Q748Z1|RL23_GEOSL	K02892
sp|Q747Q4|PROA_GEOSL	K00147
sp|Q74BX0|PSD_GEOSL	K01613
sp|Q749X2|QUEA_GEOSL	K07568
sp|Q74E87|RUVA_GEOSL	K03550
sp|Q74D04|SYT_GEOSL	K01868
sp|Q749A6|RL15_GEOSL	K02876
sp|Q74FE1|RL9_GEOSL	K02939
sp|Q74FG0|RNH2_GEOSL	K03470
sp|Q74FU5|SFRB_GEOSL	K15022
sp|Q74CF3|QUEE_GEOSL	K10026
sp|Q749A3|RL18_GEOSL	K02881
sp|P60740|RL24_GEOSL	K02895
sp|Q74CS3|RL32_GEOSL	K02911
sp|Q749A4|RS5_GEOSL	K02988
sp|Q74E88|RUVC_GEOSL	K01159
sp|P61736|SELA_GEOSL	K01042
sp|P61422|THIED_GEOSL	K14153
sp|P61679|MURC_GEOSL	K01924
sp|Q748Z5|RL16_GEOSL	K02878
sp|Q749A2|RL6_GEOSL	K02933
sp|A0A4W3|SPEA_GEOSL	K01585
sp|P61435|MURB_GEOSL	K00075
sp|P61667|MUTS_GEOSL	K03555
sp|Q746T2|NUOH2_GEOSL	K00337
sp|Q746T6|NUOK2_GEOSL	K00340
sp|Q74D00|SYFA_GEOSL	K01889
sp|Q74FG1|RL19_GEOSL	K02884
sp|Q74AW5|RL28_GEOSL	K02902
sp|Q74FM8|SYGA_GEOSL	K01878
sp|Q74C81|TIG_GEOSL	K03545
sp|P61411|THIE_GEOSL	K00788
sp|Q74AT2|LOLD_GEOSL	K09810
sp|Q747R0|RIMO_GEOSL	K14441
sp|Q74FL9|THIG_GEOSL	K03149
sp|Q74D01|RL20_GEOSL	K02887
sp|P61304|RRF_GEOSL	K02838
sp|Q74G98|NUOK1_GEOSL	K00340
sp|Q74FU6|SFRA_GEOSL	K05299
sp|Q747K3|UVRB_GEOSL	K03702
sp|Q74CG4|SSRP_GEOSL	K03664
sp|Q74D67|Y1452_GEOSL	K03215
sp|Q74FW6|TSAL_GEOSL	K01754
sp|Q749C5|Y2818_GEOSL
sp|P61404|Y2873_GEOSL
sp|Q74G62|Y386_GEOSL	K03630
sp|Q74AM0|Y2333_GEOSL	K09118
sp|Q74ES0|ACYP_GEOSL	K01512
sp|Q74GV1|CINAL_GEOSL	K03742
sp|Q74FE9|ISPE_GEOSL	K00919
sp|Q749Y7|KCY_GEOSL	K00945
sp|Q74FW8|GCH4_GEOSL	K09007
sp|P60482|ISPT_GEOSL	K00806
sp|P61453|FABZ_GEOSL	K02372
sp|Q747B9|HSLO_GEOSL	K04083
sp|P61389|CRCB_GEOSL	K06199
sp|Q74BF4|GMHA_GEOSL	K03271
sp|Q74CR5|GLYA_GEOSL	K00600
sp|Q74GN1|FOLD1_GEOSL	K01491
sp|Q74BE1|KATG_GEOSL	K03782
sp|Q74BW4|DXR_GEOSL	K00099
sp|Q748G2|FLIW_GEOSL	K13626
sp|Q74C80|IXTPA_GEOSL	K02428
sp|Q74EG5|FPG_GEOSL	K10563
sp|Q74GH5|GLMU_GEOSL	K04042
sp|Q74GM3|COXX_GEOSL	K02257
sp|Q74CR0|GPMA_GEOSL	K01834
sp|Q74FY7|EFP1_GEOSL	K02356
sp|Q74ED9|GLGA1_GEOSL	K00703
sp|Q74H35|CAS2_GEOSL	K09951
sp|Q74GU4|ARGB_GEOSL	K00930
sp|Q74CT9|BIOA_GEOSL	K00833
sp|Q74DK5|G6PI_GEOSL	K01810
sp|P61740|GPDA_GEOSL	K00057
sp|Q748X8|EFTU_GEOSL	K02358
sp|Q74GW4|FMT_GEOSL	K00604
sp|Q74A61|EFG1_GEOSL	K02355
sp|Q747Q8|GPMI_GEOSL	K15633
sp|Q74AR6|ENO_GEOSL	K01689
sp|Q74EU7|FOLD2_GEOSL	K01491
sp|Q746Y7|GATA_GEOSL	K02433
sp|Q74H36|CS4F1_GEOSL	K15342
sp|Q74H58|DNAJ_GEOSL	K03686
sp|Q748J7|CBIM_GEOSL	K02007
sp|Q74FK2|ALR_GEOSL	K01775
sp|P62639|CHEB2_GEOSL	K03412
sp|Q74F83|CHED1_GEOSL	K03411
sp|Q74C76|CIMA_GEOSL	K01649
sp|Q748D9|FTSQ_GEOSL	K03589
sp|Q74CC2|EFP2_GEOSL	K02356
sp|Q74CA8|EX7S_GEOSL	K03602
sp|P60885|HIS7_GEOSL	K01693
sp|Q74GT9|ARLY_GEOSL	K01755
sp|Q748F4|FLGH_GEOSL	K02393
sp|P60551|KGUA_GEOSL	K00942
sp|Q74AX0|KTHY_GEOSL	K00943
sp|Q747Y0|LSPA_GEOSL	K03101
sp|Q74GH6|GLMS_GEOSL	K00820
sp|Q74DI7|GLUQ_GEOSL	K01894
sp|P60836|HIS12_GEOSL	K00765
sp|P60859|HISX_GEOSL	K00013
sp|P61035|LNT_GEOSL	K03820
sp|Q74GT5|DAPB_GEOSL	K00215
sp|Q746Y5|GATC_GEOSL	K02435
sp|Q74C70|GLMM_GEOSL	K03431
sp|Q748D5|FTSW_GEOSL	K03588
sp|Q747K8|GLGA2_GEOSL	K00703
sp|P60715|HIS6_GEOSL	K02500
sp|Q749I1|GLPK_GEOSL	K00864
sp|P60789|LEPA_GEOSL	K03596
sp|Q74C57|APGM_GEOSL	K15635
sp|Q74DR9|DGTL1_GEOSL	K01129
sp|Q74B57|CATNT_GEOSL
sp|Q74FC3|DXS1_GEOSL	K01662
sp|Q749Y6|AROA_GEOSL	K00800
sp|Q749W3|BIOF_GEOSL	K00639
sp|Q749K5|CYCB_GEOSL
sp|Q748D0|FTSL_GEOSL
sp|Q74BL4|AROC_GEOSL	K01736
sp|Q74H59|DNAK_GEOSL	K04043
sp|Q74GB4|AMPA_GEOSL	K01255
sp|Q74BL6|AROB_GEOSL	K01735
sp|Q74GY0|ATPB_GEOSL	K02112
sp|Q74GY4|ATPF_GEOSL	K02109
sp|Q74DC4|CAS1_GEOSL	K15342
sp|Q74CZ3|APT_GEOSL	K00759
sp|Q747C8|CH10_GEOSL	K04078
sp|P62638|CHEB1_GEOSL	K03412
sp|P62640|CHEB3_GEOSL	K03412
sp|Q74BL9|AROQ_GEOSL	K03786
sp|Q74GY3|ATPD_GEOSL	K02113
sp|Q74CU0|AATNT_GEOSL	K00974
sp|P61523|ASSY_GEOSL	K01940
sp|Q74GB2|ATP6_GEOSL	K02108
sp|Q74CT7|BIOB_GEOSL	K01012
sp|Q74GX9|ATPE_GEOSL	K02114
sp|Q74GY2|ATPA_GEOSL	K02111
sp|Q749W5|BIOC_GEOSL	K02169
sp|Q74C83|CLPX_GEOSL	K03544
sp|Q74C71|ACPS_GEOSL	K00997
sp|P62061|ARGJ_GEOSL	K00620
sp|P61425|BZAF_GEOSL	K22466
sp|Q74CR8|ACP_GEOSL	K02078
sp|Q748X6|ARGC_GEOSL	K00145
sp|Q747C7|CH60_GEOSL	K04077
sp|Q74FT1|DTD_GEOSL	K07560
sp|Q74CB0|DXS2_GEOSL	K01662
sp|Q74DB5|ACCA_GEOSL	K01962
sp|Q74ER9|DNLJ_GEOSL	K01972
sp|Q74AX4|DER_GEOSL	K03977
sp|P61908|DUT_GEOSL	K01520
sp|Q74BL5|AROK_GEOSL	K00891
